Project_webSummary, Project Title, Project N�, Project Website, Year Of Finance, Lead Partner Country, Type Of Beneficiary, Country, Themes, Keywords, Habitats, Species
index.cfm?fuseaction=search.dspPage&n_proj_id=5864,ReBorN LIFE - Restoration of Boreal Nordic Rivers,LIFE15 NAT/SE/000892,"https://www.rebornlife.org/,",2015,SE,Local authority,Sverige,Habitats ~ Freshwater /,flood control / forestry / freshwater ecosystem / restoration measure / river /,Fennoscandian natural rivers / Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation /,Lutra lutra / Margaritifera margaritifera / Salmo salar /
index.cfm?fuseaction=search.dspPage&n_proj_id=5856,"LIFE IPORSEN - Wetland habitat restoration and bird protection of Poiplie, Horna Orava and Senianske rybniky SPAs in Slovakia",LIFE15 NAT/SK/000861,"http://www.vtaciraj.sk,",2015,SK,NGO-Foundation,Slovakia Slovensko,Habitats ~ Freshwater / Species ~ Birds /,agricultural method / environmental impact of agriculture / land use / restoration measure / wetland / wetlands ecosystem /,Non applicable (i.e.species project) /,Alcedo atthis / Ardea purpurea / Chlidonias hybridus / Ciconia ciconia / Ciconia nigra / Circus aeruginosus / Egretta alba / Egretta garzetta / Ixobrychus minutus / Nycticorax nycticorax / Porzana porzana / Sterna hirundo / Tringa totanus /
index.cfm?fuseaction=search.dspPage&n_proj_id=5866,Unlocking the Severn LIFE - LIFE - Shad Severn: Conservation and restoration of twaite shad in the Severn Estuary Special Area of Conservation,LIFE15 NAT/UK/000219,"http://severnriverstrust.com/projects/unlocking-the-severn/,",2015,UK,NGO-Foundation,United Kingdom,Species ~ Fish /,migratory species / monitoring / population dynamics / renaturation / river / river management /,Non applicable (i.e.species project) /,Alosa fallax /
index.cfm?fuseaction=search.dspPage&n_proj_id=5938,LIFE blackwit UK - Recovering and securing the future of the globally Near Threatened black-tailed godwit (Limosa limosa) in the UK,LIFE15 NAT/UK/000753,"http://www.rspb.org.uk/our-work/conservation/centre-for-conservation-science/research/projects/436379-eu-life-recovering-and-securing-the-future-of-the-blacktailed-godwit-in-the-uk,",2015,UK,NGO-Foundation,United Kingdom,Species ~ Birds /,environmental awareness / migratory species / population dynamics /,Non applicable (i.e.species project) /,Limosa limosa /
index.cfm?fuseaction=search.dspPage&n_proj_id=5865,Marches Mosses BogLIFE - Marches Mosses Raised Bog Restoration Project,LIFE15 NAT/UK/000786,"http://www.themeresandmosses.co.uk/page/74/marches-mosses-boglife-project.htm,",2015,UK,Public enterprise,United Kingdom,Habitats ~ Bogs and Mires /,environmental education / monitoring / nature reserve / restoration measure / voluntary work /,Active raised bogs / Degraded raised bogs still capable of natural regeneration /,
index.cfm?fuseaction=search.dspPage&n_proj_id=5588,Nature Code - Nature Code - Centre of Development & Environment,LIFE15 NGO-FPA/AT/000017,,2015,AT,,Österreich,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5560,WWF-DCPO - Umweltorganisation WWF International Danube-Carpathian Programme,LIFE15 NGO-FPA/AT/000059,,2015,AT,,Österreich,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5584,NGO Shipbreaking Platform - NGO Shipbreaking Platform,LIFE15 NGO-FPA/BE/000001,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5561,WWF EPO - WWF European Policy Programme AISBL,LIFE15 NGO-FPA/BE/000004,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5562,T&E - European Federation for Transport & Environment,LIFE15 NGO-FPA/BE/000008,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5570,HEAL - Health & Environment Alliance,LIFE15 NGO-FPA/BE/000013,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5571,ECF - European Cyclists' Federation,LIFE15 NGO-FPA/BE/000016,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5567,EEB - European Environmental Bureau,LIFE15 NGO-FPA/BE/000019,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5568,HCWH Europe - Health Care Without Harm Europe,LIFE15 NGO-FPA/BE/000023,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5579,SAR - Seas At Risk Vzw,LIFE15 NGO-FPA/BE/000029,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5577,ELPA - European Litter Prevention Association asbl,LIFE15 NGO-FPA/BE/000032,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5558,CAN Europe - Climate Action Network Europe vzw-asbl,LIFE15 NGO-FPA/BE/000036,,2015,BE,,België - Belgique,~ Climate change Adaptation /,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5580,FACE - Federation of Associations for Hunting and Conservation of the EU,LIFE15 NGO-FPA/BE/000040,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5559,FoEE - Friends of the Earth Europe,LIFE15 NGO-FPA/BE/000041,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5575,IFOAM EU Group - International Federation of Organic Agriculture Movements European Regional Group (IFOAM EU Group),LIFE15 NGO-FPA/BE/000043,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5569,PAN Europe - Pesticide Action Network Europe ASBL,LIFE15 NGO-FPA/BE/000058,,2015,BE,,België - Belgique,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5582,J&E - Justice and Environment,LIFE15 NGO-FPA/CZ/000014,,2015,CZ,,Czech Cesko,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5576,Bankwatch - CEE Bankwatch Network,LIFE15 NGO-FPA/CZ/000046,,2015,CZ,,Czech Cesko,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5563,CDP Europe - Carbon Disclosre Project gGmbH,LIFE15 NGO-FPA/DE/000028,,2015,DE,,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5566,EUROPARC Federation - Föderation der Natur- und Nationalparke Europas (Föderation EUROPARC) e. V.,LIFE15 NGO-FPA/DE/000050,,2015,DE,,Deutschland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5573,OCEANA - Fundacion Oceana,LIFE15 NGO-FPA/ES/000026,,2015,ES,,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5583,2 II - 2 Investing Initiative,LIFE15 NGO-FPA/FR/000055,,2015,FR,,France,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5578,CEEweb - CEEweb for Biodiversity,LIFE15 NGO-FPA/HU/000049,,2015,HU,,Hungary Magyarország,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5589,Slow Food - SLOW FOOD,LIFE15 NGO-FPA/IT/000057,,2015,IT,,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5572,BirdLife Europe - Stichting BirdLife Europe,LIFE15 NGO-FPA/NL/000002,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5585,Eurosite - Eurosite,LIFE15 NGO-FPA/NL/000006,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5564,Fern - Sichting Fern,LIFE15 NGO-FPA/NL/000010,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5586,ZWE - Stichting Zero Waste Europe,LIFE15 NGO-FPA/NL/000020,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5574,EAZA - Europese Vereniging van Dierentuinen en Aquaria - European Association of Zoos and Aquaria,LIFE15 NGO-FPA/NL/000030,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5581,Wetlands International - Wetlands International - European Association,LIFE15 NGO-FPA/NL/000051,,2015,NL,,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5565,CCB - Coalition Clean Baltic,LIFE15 NGO-FPA/SE/000042,,2015,SE,,Sverige,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5587,E3G - Third Generation Environmentalism,LIFE15 NGO-FPA/UK/000022,,2015,UK,,United Kingdom,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5538,LIFE Euro Bird Portal - Combining and improving online bird portals data to display near-real-time spatiotemporal patterns of bird distribution across Europe,LIFE15 PRE/ES/000002,"http://life.eurobirdportal.org/,",2015,ES,Research institution,España,Species ~ Birds /,migratory species /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5518,LIFE IAP - RISK - Mitigating the threat of invasive alien plants in the EU through pest risk analysis to support the EU Regulation,LIFE15 PRE/FR/000001,,2015,FR,Intergovernmental body,France,Biodiversity issues ~ Invasive species /,preventive measure / risk assessment / risk management /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5638,LIFE Living Streets - LIFE Living Streets,LIFE15 PRE/FR/000003,,2015,FR,NGO-Foundation,France,Air &amp; Noise ~ Air pollutants / Land-use &amp; Planning ~ Transport planning - Traffic monitoring /,public awareness campaign / urban area / urban planning /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5618,LIFE MEDINET - Mediterranean Network for Reporting Emissions and Removals in Cropland and Grassland,LIFE15 PRE/IT/000001,"http://www.lifemedinet.com,",2015,IT,University,Italia,Climate change Mitigation ~ Carbon sequestration / Climate change Mitigation ~ GHG reduction in non EU ETS sectors /,Agriculture / biomass energy / climate change mitigation / greenhouse gas / monitoring system /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5598,LifeTA-CLIMATE Finland - Technical assistance for preparing Life IP on CLIMATE - Towards carbon neutral municipalities and regions in Finland,LIFE15 TAC/FI/000001,,2015,FI,,Finland Suomi,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5599,TA FuelVISION - Technical assistance project - Preparing the submission of LIFE IP project application FuelVISION,LIFE15 TAC/NL/000002,,2015,NL,National authority,Nederland,Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Climate change Mitigation ~ GHG reduction in EU ETS sectors / Climate change Mitigation ~ Energy efficiency / Climate change Mitigation ~ Renewable energies /,biofuel / energy efficiency / mobility / renewable energy / transport planning /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5478,HIMMERLAND - LIFE Nature Integrated Project HIMMERLAND,LIFE15 TAE/DK/000001,,2015,DK,,Danmark,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5510,LIFE CAPTA BG - CAPacity Building Technical Assistance to the BulGarian Ministry of Environment and Water for implementing the LIFE programme,LIFE14 CAP/BG/000013,"http://www.life-bulgaria.bg/en/,",2014,BG,National authority,Bulgaria Balgarija,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5503,CYCLamEn - CYprus Capacity BuiLding for lifE,LIFE14 CAP/CY/000006,"http://www.lifecyclamen.com.cy/,",2014,CY,National authority,Cyprus,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5498,"Czech LIFE - ProLIFE Capacity Building, Czech Republic",LIFE14 CAP/CZ/000001,"http://program-life.cz/,",2014,CZ,National authority,Czech Cesko,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5506,AwaRaEst LIFE - Awareness raising & application quality improvement of the LIFE program in Estonia,LIFE14 CAP/EE/000009,"http://life.envir.ee,",2014,EE,National authority,Estonia Eesti,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5500,GR LTF - Establishment and operation of the Greek LIFE Task Force (LTF) for the period 2014-2017,LIFE14 CAP/GR/000003,"http://www.lifetaskforce.gr/,",2014,GR,National authority,Ellas,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5511,HR NCP - MENP - Capacity Building for Croatia’s National CP for the LIFE programme – Ministry of Environmental and Nature Protection,LIFE14 CAP/HR/000014,"https://lifeprogramhrvatska.hr/en/life-capacity-building-project/,",2014,HR,National authority,Croatia Hrvatska,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5507,LIFE CAP HUN - LIFE Capacity Building in Hungary,LIFE14 CAP/HU/000010,"http://www.lifepalyazatok.eu/capacity-building.html,",2014,HU,National authority,Hungary Magyarország,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5505,LIFE LT - Building LIFE capacities in Lithuania,LIFE14 CAP/LT/000008,"http://www.lifeprojektai.lt,",2014,LT,National authority,Lithuania Lietuva,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5499,CAP LIFE LAT - Capacity Building for LIFE Programme implementation in Latvia,LIFE14 CAP/LV/000002,"http://www.lifeprogramma.lv/en/capacity-project,",2014,LV,National authority,Latvia Latvija,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5502,Increase LIFE ! - Increasing Malta’s participation in LIFE,LIFE14 CAP/MT/000005,"http://msdec.gov.mt/en/life/Pages/increaseLIFE.aspx,",2014,MT,National authority,Malta,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5508,LIFE NFEP PL - Capacity Building of LIFE NCP in Poland,LIFE14 CAP/PL/000011,"http://www.nfosigw.gov.pl/oferta-finansowania/srodki-zagraniczne/instrument-finansowy-life/,",2014,PL,National authority,Poland Polska,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5501,PT CAPACITY BUILDING - Portugal Capacity Building for better use of LIFE,LIFE14 CAP/PT/000004,"https://life.apambiente.pt ,",2014,PT,National authority,Portugal,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5504,LIFE Lab - LIFE – Closer to You,LIFE14 CAP/RO/000007,"http://www.mmediu.ro/categorie/life-capacity-building/197,",2014,RO,National authority,Romania,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5509,LIFE CB SI - LIFE Capacity Building Slovenia,LIFE14 CAP/SI/000012,"http://lifeslovenija.si/en/,",2014,SI,National authority,Slovenia Slovenija,,environmental training /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5429,LIFE LUGO + BIODINÁMICO - PROYECTO LIFE LUGO MAS BIODINÁMICO. PLANIFICACIÓN DE UN BARRIO MULTI-ECOLÓGICO COMO MODELO DE RESILIENCIA URBANA,LIFE14 CCA/ES/000489,"http://www.lugobiodinamico.eu,",2014,ES,Local authority,España,Climate change Adaptation ~ Resilient communities / Industry-Production ~ Building / Land-use &amp; Planning ~ Green infrastructure /,biodiversity / climate resilience / forecast / forest management / green building / green space / renewable energy / residential area / risk assessment / urban planning / wood product /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5248,LIFE ADAPTAMED - Protection of key ecosystem services by adaptive management of Climate Change endangered Mediterranean socioecosystems,LIFE14 CCA/ES/000612,"http://laboratoriorediam.com/lifeadaptamed/index.html,",2014,ES,Regional authority,España,Climate change Adaptation ~ Natural resources and ecosystems /,biosphere reserve / coastal area / forest ecosystem / forest management / management plan / mountainous area / protected area / water shortage / wetlands ecosystem /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5241,LIFE AgroClimaWater - Promoting water efficiency and supporting the shift towards a climate resilient agriculture in Mediterranean countries,LIFE14 CCA/GR/000389,"http://www.lifeagroclimawater.eu/,",2014,GR,SME Small and medium sized enterprise,Ellas,Climate change Adaptation ~ Sectoral adaptation (industry-services) / Industry-Production ~ Agriculture - Forestry /,Agriculture / climate resilience / water resources management / water shortage /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5245,LIFE ADAPT2CLIMA - Adaptation to Climate change Impacts on the Mediterranean islands' Agriculture,LIFE14 CCA/GR/000928,"http://www.adapt2clima.eu,",2014,GR,Research institution,Ellas,Climate change Adaptation ~ Sectoral adaptation (industry-services) / Industry-Production ~ Agriculture - Forestry /,Agriculture / climate resilience / environmental training / financial instrument / industrial area / island / rural area / water shortage /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5242,Life SEC Adapt - Upgrading Sustainable Energy Communities in Mayor Adapt initiative by planning Climate Change Adaptation strategies.,LIFE14 CCA/IT/000316,"http://www.lifesecadapt.eu,",2014,IT,Development agency,Italia,Climate change Adaptation ~ Resilient communities /,Mayors Adapt / climate adaptation strategy / coastal erosion / flood /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5246,LIFE DERRIS - DERRIS - DisastEr Risk Reduction InSurance,LIFE14 CCA/IT/000650,"http://www.derris.eu,",2014,IT,Large enterprise,Italia,Climate change Adaptation ~ Resilient communities / Climate change Adaptation ~ Sectoral adaptation (industry-services) / Information - Governance ~ Market based instruments / Risk management ~ Risk assessment and monitoring /,climate change adaptation / financial instrument / risk assessment / risk management /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5243,LIFE IRIS - Improve Resilience of Industry Sector,LIFE14 CCA/IT/000663,"http://www.lifeiris.eu,",2014,IT,Development agency,Italia,Climate change Adaptation ~ Sectoral adaptation (industry-services) /,Agriculture / beverage industry / financial instrument / industrial area / life-cycle management /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5240,LIFE HEROTILE - High Energy savings in building cooling by ROof TILEs shape optimization toward a better above sheathing ventilation,LIFE14 CCA/IT/000939,"http://www.lifeherotile.eu,",2014,IT,Large enterprise,Italia,Climate change Adaptation ~ Resilient communities / Climate change Adaptation ~ Sectoral adaptation (industry-services) / Industry-Production ~ Building /,building material / energy saving / green building / heat island effect / urban area /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5247,LIFE PRIMES - Preventing flooding RIsks by Making resilient communitiES,LIFE14 CCA/IT/001280,"http://protezionecivile.regione.emilia-romagna.it/life-primes/progetto/progetto-life-primes,",2014,IT,Regional authority,Italia,Climate change Adaptation ~ Resilient communities / Risk management ~ Natural risks (Flood - Forest fire - Landslide) /,flood protection / risk management / social participation /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5239,LIFE URBAN-ADAPT - LIFE URBAN-ADAPT: demonstrating urban climate adaptation and resilience in inner city Rotterdam,LIFE14 CCA/NL/000302,"https://www.urbanadapt.eu,",2014,NL,Local authority,Nederland,Climate change Adaptation ~ Resilient communities / Information - Governance ~ Public and Stakeholders participation / Land-use &amp; Planning ~ Green infrastructure /,climate adaptation strategy / coastal area / ecosystem-based approach / flood protection / heat island effect / restoration measure / river / sea level rise / social participation / urban planning /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5356,LIFERADOMKLIMA-PL - Adaptation to climate change through sustainable management of water of the urban area in Radom City,LIFE14 CCA/PL/000101,"http://life.radom.pl,",2014,PL,Local authority,Poland Polska,Climate change Adaptation ~ Resilient communities / Risk management ~ Natural risks (Flood - Forest fire - Landslide) /,climate adaptation strategy / flood protection / rain water / urban area /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5249,LIFE DRB - Demonstration of the Double Regenerative Burner technology to reduce GHG emissions from Steelmaking industry plant,LIFE14 CCM/BE/000921,,2014,BE,Large enterprise,België - Belgique,Climate change Mitigation ~ GHG reduction in EU ETS sectors / Climate change Mitigation ~ Energy efficiency / Industry-Production ~ Metal industry /,climate change mitigation / emission reduction / energy efficiency / energy saving / greenhouse gas / iron and steel industry /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5244,"LIFE-Dairyclim - Feeding strategies to decrease methane emissions and carbon footprint of dairy cows in Belgium, Luxembourg and Denmark",LIFE14 CCM/BE/001187,"http://labos.ulg.ac.be/dairyclim/en/,",2014,BE,University,België - Belgique,Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Industry-Production ~ Agriculture - Forestry /,agricultural method / animal husbandry / carbon capture and storage / carbon sequestration / climate change mitigation / comparison / emission reduction / grazing / greenhouse gas / greenhouse gas accounting / life-cycle management / survey /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5354,LIFE+ ORGANIKO - Revamping organic farming and its products in the context of climate change mitigation strategies,LIFE14 CCM/CY/000990,"http://organikolife.com,",2014,CY,University,Cyprus,Climate change Mitigation ~ Carbon sequestration / Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Industry-Production ~ Agriculture - Forestry /,carbon sequestration / climate mitigation strategy / consumer information / emission reduction / greenhouse gas / greenhouse gas accounting / human exposure to pollutants / organic farming / public health / survey /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5257,LIFE_FERTILIFE - AGRICULTURAL CARBONIC FERTILIZATION WITH CERAMIC INDUSTRY GEI EMISSIONS,LIFE14 CCM/ES/000311,"http://www.fertilife-project.eu,",2014,ES,Large enterprise,España,Climate change Mitigation ~ GHG reduction in EU ETS sectors / Climate change Mitigation ~ Energy efficiency / Industry-Production ~ Agriculture - Forestry /,Agriculture / carbon capture and storage / ceramics industry / emission reduction / energy efficiency / fertiliser / greenhouse gas / irrigation / waste use /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5256,LIFE BATTLE-CO2 - Biomass incorporation in AsphalT manufacturing Towards Less Emissions of CO2,LIFE14 CCM/ES/000404,"http://www.battleco2.com,",2014,ES,Research institution,España,Climate change Mitigation ~ GHG reduction in EU ETS sectors / Climate change Mitigation ~ Renewable energies /,alternative material / biomass energy / emission reduction / greenhouse gas /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5260,LIFE METHAmorphosis - WASTE STREAMS TREATMENT FOR OBTAINING SAFE RECLAIMED WATER AND BIOMETHANE FOR TRANSPORT SECTOR TO MITIGATE GHG EMISSIONS,LIFE14 CCM/ES/000865,"http://www.life-methamorphosis.eu,",2014,ES,International enterprise,España,Climate change Mitigation ~ Renewable energies / Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Climate change Mitigation ~ GHG reduction in EU ETS sectors /,agricultural waste / biofuel / emission reduction / greenhouse gas / transportation mean /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5258,LIFE Blue Natura - Andalusian blue carbon for climate change mitigation: quantification and valorization mechanisms,LIFE14 CCM/ES/000957,"http://www.life-bluenatura.eu/,",2014,ES,Regional authority,España,Climate change Mitigation ~ Carbon sequestration /,carbon sequestration / cartography / coastal area / financial instrument / forecast / greenhouse gas accounting / marine environment / protected area / research project /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5261,LIFE DEMOWAVE - Demonstration of the efficiency & environmental impact of wave energy converters (WEC) in high-energy coasts.,LIFE14 CCM/ES/001209,"http://www.life-demowave.eu,",2014,ES,SME Small and medium sized enterprise,España,Climate change Mitigation ~ Renewable energies /,renewable energy /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5458,LIFE FOREST CO2 - Assessment of forest-carbon sinks and promotion of compensation systems as tools for climate change mitigation ,LIFE14 CCM/ES/001271,"http://lifeforestco2.eu/,",2014,ES,Regional authority,España,Climate change Mitigation ~ Carbon sequestration /,carbon sequestration / environmental awareness / forest management / forestry / greenhouse gas accounting /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5254,OPAL-Life - Optimising Agricultural Land Use to Mitigate Climate Change (OPAL-Life),LIFE14 CCM/FI/000254,"http://www.opal.fi/,",2014,FI,Research institution,Finland Suomi,Climate change Mitigation ~ GHG reduction in non EU ETS sectors /,agricultural method / emission reduction / greenhouse gas / land use planning / organic farming / rural area / social participation /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5250,LIFE Conipher - CONcrete Insulation PHotovoltaic Envelop for deep Renovation,LIFE14 CCM/FR/000954,"http://www.life-conipher.eu,",2014,FR,International enterprise,France,Climate change Mitigation ~ Energy efficiency / Climate change Mitigation ~ Renewable energies /,building material / building renovation / climate change mitigation / energy efficiency / environmental performance / green building / renewable energy /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5355,"LIFE BEEF CARBON - Demonstration actions to mitigate the carbon footprint of beef production in France, Ireland, Italy and Spain",LIFE14 CCM/FR/001125,"http://idele.fr/index.php?id=2487  ,",2014,FR,National authority,France,Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Climate change Mitigation ~ Carbon sequestration / Industry-Production ~ Food and Beverages /,Agriculture / emission reduction / environmental training / food production / greenhouse gas / greenhouse gas accounting /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5251,LIFE CLIMATREE - A novel approach for accounting & monitoring carbon sequestration of tree crops and their potential as carbon sink areas,LIFE14 CCM/GR/000635,"http://www.lifeclimatree.eu/,",2014,GR,University,Ellas,Climate change Mitigation ~ Carbon sequestration / Climate change Mitigation ~ GHG reduction in non EU ETS sectors /,agricultural method / forest ecosystem / forestry / greenhouse gas accounting /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5426,LIFE RE Mida - Innovative Methods for Residual Landfill Gas Emissions Mitigation in Mediterranean Regions,LIFE14 CCM/IT/000464,"http://www.liferemida.it/,",2014,IT,University,Italia,Climate change Mitigation ~ GHG reduction in non EU ETS sectors /,emission reduction / greenhouse gas / landfill / odour nuisance / volatile organic compound /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5252,LIFE FoResMit - Recovery of degraded coniferous Forests for environmental sustainability Restoration and climate change Mitigation,LIFE14 CCM/IT/000905,"http://lifeforesmit.com/it/,",2014,IT,Research institution,Italia,Climate change Mitigation ~ GHG reduction in non EU ETS sectors / Climate change Mitigation ~ Carbon sequestration /,biomass energy / carbon sequestration / emission reduction / forest management / greenhouse gas / periurban space / restoration measure /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5255,LIFE REstore - Sustainable and responsible management and re-use of degraded peatlands in Latvia,LIFE14 CCM/LV/001103,"http://restore.daba.gov.lv,",2014,LV,NGO-Foundation,Latvia Latvija,Habitats ~ Freshwater /,decision making support / greenhouse gas accounting / management plan / restoration measure / wetland /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5253,EffiSludge for LIFE - An innovative concept to improve resource and energy efficiency in treatment of Pulp and Paper industry effluents,LIFE14 CCM/SE/000221,"http://scandinavianbiogas.com/effisludge/,",2014,SE,Large enterprise,Sverige,Climate change Mitigation ~ GHG reduction in EU ETS sectors / Climate change Mitigation ~ Energy efficiency / Climate change Mitigation ~ Renewable energies /,Biogas / biofuel / energy efficiency / energy saving / paper industry / renewable energy / use of waste as energy source / waste water treatment /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5278,LIFE 'N GRAB HY! - LIquidation of Full Emission and Noise levels while GARBage collection with Hydrogen!,LIFE14 ENV/BE/000415,"http://www.lifeandgrabhy.eu,",2014,BE,NGO-Foundation,België - Belgique,Climate change Mitigation ~ Energy efficiency / Waste ~ Municipal waste (including household and commercial) /,energy saving / greenhouse gas / waste collection /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5420,LIFE PETCYCLE - Demonstration of Novel Marker and Sorting Techniques for PET Recycling into Higher Value Added Non-Woven Material,LIFE14 ENV/BE/001065,"http://petcycleproject.eu,",2014,BE,International enterprise,België - Belgique,Waste ~ Waste recycling / Waste ~ Packaging and plastic waste /,plastic waste / waste recycling /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5279,LIFE+ INADAR - INADAR - Innovative and ecological approach for dam restoration,LIFE14 ENV/DE/000851,"http://inadar.eu,",2014,DE,Large enterprise,Deutschland,Water ~ River basin management / Water ~ Water resources protection /,restoration measure / water quality / water resources management /,,
index.cfm?fuseaction=search.dspPage&n_proj_id=5282,LIFE_IRRILIFE - ENVIRONMENTALLY EFFICIENT USE OF PESTICIDES BY LOCALIZED IRRIGATION SYSTEMS,LIFE14 ENV/ES/000119,"http://www.irrilife.eu/#/,",2014,ES,SME Small and medium sized enterprise,España,Industry-Production ~ Agriculture - Forestry / Water ~ Water quality improvement /,groundwater / irrigation / soil degradation / water quality /,,
