"NHS Hospital and Community Health Services (HCHS): HCHS Doctors by ethnicity, in NHS Trusts excluding ambulance trusts, as at 31 December 2009 to 31 December 2014, and 31 December 2016, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,As at 31 December 2016,,,,,,,,,,,As at 31 December 2014,,,,,,,,,,,As at 31 December 2013,,,,,,,,,,,As at 31 December 2012,,,,,,,,,,,As at 31 December 2011,,,,,,,,,,,As at 31 December 2010,,,,,,,,,,,As at 31 December 2009,,,,,,,,,
,Birmingham East and North PCT,5PG,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,1,,5,-,-,-,-,-,-,-,-,-,,16,-,-,-,-,-,-,-,-,-,,14,-,-,-,-,-,-,-,-,-
,Birmingham Women's NHS Foundation Trust,RLU,124,1,41,3,3,2,62,-,11,1,,121,3,45,5,4,2,52,-,10,-,,122,2,44,6,3,1,55,-,11,-,,120,4,39,5,4,1,57,-,10,-,,115,3,33,2,2,2,60,-,13,-,,114,5,33,1,2,3,56,-,14,-,,107,1,32,4,3,2,54,-,11,-
,Black Country Partnership NHS Foundation Trust,TAJ,92,11,50,2,-,3,19,-,6,1,,101,12,64,2,-,-,18,-,5,-,,100,12,58,3,-,-,19,-,7,1,,106,13,61,5,1,1,21,-,3,1,,50,-,-,-,-,-,-,-,-,-,,53,-,-,-,-,-,-,-,1,-,,55,-,-,-,-,-,-,-,-,-
,Burton Hospitals NHS Foundation Trust,RJF,320,17,141,24,4,12,103,-,18,1,,326,13,128,19,6,7,112,-,39,2,,310,12,110,15,2,2,109,-,4,56,,316,12,126,16,4,2,131,-,7,18,,309,13,130,14,1,3,116,-,4,28,,288,12,114,9,1,1,99,-,2,50,,281,14,140,11,2,4,108,-,-,2
,Coventry and Warwickshire Partnership NHS Trust,RYG,226,8,96,9,2,2,98,-,8,3,,193,5,84,4,3,2,89,-,4,2,,193,3,90,6,2,4,81,-,5,2,,208,8,89,5,3,2,93,-,6,2,,161,6,78,6,1,3,63,-,2,2,,168,7,76,6,2,3,64,-,4,6,,179,5,83,8,2,4,69,-,4,4
,Coventry Teaching PCT,5MD,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,52,-,-,-,-,-,-,-,4,-,,58,-,-,-,-,-,-,-,4,-,,52,-,-,-,-,-,-,-,3,-
,Dudley and Walsall Mental Health Partnership NHS Trust,RYK,85,6,49,9,-,1,19,-,1,-,,92,6,50,9,1,2,21,-,2,1,,98,7,57,7,1,1,19,-,4,2,,90,6,52,5,2,1,20,-,4,-,,94,8,54,6,2,1,19,-,2,2,,91,8,52,5,1,1,19,-,4,1,,96,7,60,3,1,1,20,-,3,1
,Dudley Group NHS Foundation Trust,RNA,510,11,199,24,11,15,183,-,46,21,,509,9,170,12,10,11,163,-,56,78,,500,11,199,13,13,8,167,-,21,68,,479,16,177,19,7,6,194,-,24,36,,465,14,184,8,9,11,176,-,36,27,,462,21,187,9,4,6,166,-,33,36,,435,22,192,11,3,3,155,-,29,20
,Dudley PCT,5PE,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-,,27,-,-,-,-,-,-,-,-,2,,32,-,-,-,-,-,-,-,1,-
,George Eliot Hospital NHS Trust,RLT,230,17,125,15,3,6,59,-,2,3,,256,18,130,20,6,3,72,-,5,2,,252,21,111,12,5,6,87,-,5,5,,228,17,104,11,3,1,88,-,3,1,,237,15,118,13,3,-,80,-,6,2,,202,8,97,10,4,1,82,-,-,-,,207,5,116,10,2,1,70,-,-,3
,Heart of Birmingham Teaching PCT,5MX,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,-,1,,101,4,43,3,3,3,43,-,2,-,,104,4,43,4,3,1,44,-,2,3
,Heart of England NHS Foundation Trust,RR1,"1,165",84,467,46,20,37,449,-,57,5,,"1,124",56,418,49,11,28,480,-,77,5,,"1,096",69,412,42,25,19,440,-,84,5,,"1,094",59,446,38,19,27,433,-,66,6,,"1,092",53,416,33,16,28,454,-,87,5,,"1,040",46,378,39,18,31,407,-,113,8,,"1,006",48,309,32,15,10,352,-,225,15
,Herefordshire PCT,5CN,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,31,-,-,-,-,-,-,-,-,-,,58,-,-,-,-,-,-,-,1,-,,58,-,-,-,-,-,-,-,1,-
,Mid Staffordshire NHS Foundation Trust,RJD,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,278,13,114,21,8,11,97,-,14,-,,296,17,116,17,4,9,118,-,14,1,,292,17,94,14,7,12,120,-,26,2,,281,14,113,10,6,12,119,-,2,5,,279,15,110,15,10,8,113,-,7,1
,North Staffordshire Combined Healthcare NHS Trust,RLY,63,-,-,-,-,-,-,-,1,-,,59,-,-,-,-,-,-,-,1,1,,60,-,-,-,-,-,-,-,1,-,,55,-,-,-,-,-,-,-,1,-,,62,-,-,-,-,-,-,-,1,-,,73,5,23,7,-,-,37,-,1,-,,72,5,24,7,-,-,32,-,3,1
,North Staffordshire PCT,5PH,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,-,-,,14,-,-,-,-,-,-,-,1,-,,11,-,-,-,-,-,-,-,3,-,,15,-,-,-,-,-,-,-,5,-
,Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,117,4,27,-,1,4,68,-,8,5,,118,2,27,-,1,3,71,-,12,2,,120,2,20,2,1,4,72,-,12,7,,123,3,29,1,1,5,70,-,11,3,,116,3,30,1,1,4,65,1,10,1,,104,1,24,1,2,4,62,-,10,-,,102,1,28,-,1,3,55,-,14,-
,Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,111,3,40,4,1,4,58,-,1,-,,108,4,44,3,1,2,50,-,3,1,,106,4,36,3,2,2,55,-,3,1,,106,4,42,4,-,1,49,-,5,1,,103,2,41,4,-,1,52,-,1,2,,100,2,38,3,1,1,50,-,1,4,,101,2,39,2,1,2,50,-,2,3
,Royal Wolverhampton NHS Trust,RL4,786,35,347,39,31,21,307,-,5,1,,710,25,314,27,18,21,296,-,7,2,,650,18,270,19,23,15,291,-,13,1,,646,26,283,19,15,13,277,-,12,1,,644,25,267,22,16,12,293,-,9,-,,589,25,245,18,12,6,277,-,5,1,,570,22,219,26,18,5,277,-,3,-
,Sandwell and West Birmingham Hospitals NHS Trust,RXK,766,34,350,30,24,16,271,-,39,2,,782,36,333,29,29,20,280,-,54,1,,791,32,328,24,31,17,304,-,55,-,,792,32,347,29,32,23,295,-,30,4,,790,32,346,25,33,19,296,-,35,4,,784,32,344,24,32,23,295,-,32,2,,827,33,358,30,30,22,309,-,44,1
,Sandwell PCT,5PF,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,-,-,,26,-,-,-,-,-,-,-,-,-,,27,-,-,-,-,-,-,-,-,-
,Shrewsbury and Telford Hospital NHS Trust,RXW,573,29,186,38,12,10,291,-,6,1,,556,27,171,28,6,12,303,-,7,2,,553,22,180,24,7,15,292,-,9,4,,548,22,172,26,6,12,284,-,24,2,,515,19,161,17,7,9,274,1,25,2,,514,16,159,17,13,13,262,1,30,3,,492,10,139,14,11,10,231,1,74,2
,Shropshire Community Health NHS Trust,R1D,61,-,-,-,-,-,-,-,4,-,,70,1,6,1,1,1,56,-,4,-,,71,1,8,1,1,-,54,-,5,1,,72,2,5,1,-,-,55,1,7,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Shropshire County PCT,5M2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,27,-,-,-,-,-,-,-,2,-,,78,1,8,2,-,-,55,-,10,2,,59,-,-,-,-,-,-,-,9,2,,60,-,-,-,-,-,-,-,10,2
,Solihull Care Trust,TAM,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,26,-,-,-,-,-,-,-,1,-,,27,-,-,-,-,-,-,-,1,-
,Solihull PCT,5QW,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,1,-,,3,-,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,South Birmingham PCT,5M1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,1,,10,-,-,-,-,-,-,-,-,-,,197,7,64,5,-,3,101,-,16,1,,191,7,72,5,1,3,100,-,2,1
,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,RRE,153,6,58,8,2,1,65,-,13,-,,135,4,59,7,-,2,54,-,9,-,,142,2,51,11,3,2,62,-,11,-,,137,3,51,10,-,1,63,-,9,-,,144,3,55,7,1,1,66,-,10,1,,145,3,60,7,-,1,63,-,11,-,,155,2,63,7,-,1,70,-,12,-
,South Staffordshire PCT,5PK,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,-,-,,34,-,-,-,-,-,-,-,3,2,,41,-,-,-,-,-,-,-,3,2,,38,-,-,-,-,-,-,-,1,2
,South Warwickshire NHS Foundation Trust,RJC,341,9,101,20,3,17,173,-,9,9,,309,14,100,13,1,16,156,-,8,1,,312,11,101,12,1,14,162,-,10,1,,297,10,102,12,1,10,145,-,13,4,,271,7,83,13,-,8,147,-,12,1,,259,6,80,13,-,4,146,-,10,-,,267,8,90,15,3,6,134,-,11,-
,Staffordshire and Stoke on Trent Partnership NHS Trust,R1E,109,1,27,2,-,1,59,-,5,14,,120,2,27,2,-,2,63,-,3,21,,114,4,29,3,-,2,70,-,4,2,,57,-,-,-,-,-,-,-,1,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Stoke On Trent PCT,5PJ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,47,-,-,-,-,-,-,-,2,-,,78,-,25,1,1,1,49,-,1,-,,74,1,21,3,-,-,48,-,1,-,,85,1,25,2,-,-,56,-,1,-
,Telford and Wrekin PCT,5MK,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,1,-,,45,-,-,-,-,-,-,-,5,-,,44,-,-,-,-,-,-,-,3,1,,43,-,-,-,-,-,-,-,3,-
,University Hospitals Birmingham NHS Foundation Trust,RRK,"1,182",52,411,33,31,28,586,-,39,2,,"1,084",50,364,27,27,32,554,-,26,4,,"1,034",50,344,30,23,25,542,-,18,2,,993,44,323,24,34,22,521,-,22,3,,929,27,283,20,25,24,526,-,23,1,,863,26,272,20,23,22,465,-,31,4,,813,20,226,14,19,10,448,-,75,1
,University Hospitals Coventry and Warwickshire NHS Trust,RKB,924,39,261,22,14,16,362,-,143,67,,901,29,226,32,11,10,347,-,245,1,,880,34,229,31,11,9,355,-,146,65,,853,33,226,27,15,13,350,-,178,11,,868,34,220,28,12,10,321,-,214,29,,846,30,178,17,11,6,263,-,142,199,,827,26,213,24,10,8,307,-,119,120
,University Hospitals of North Midlands NHS Trust,RJE,"1,107",36,436,37,25,29,504,-,35,5,,"1,073",36,403,50,36,25,485,-,37,1,,821,30,312,22,26,15,385,-,31,-,,780,30,280,25,19,19,373,-,30,4,,731,31,251,28,10,15,350,-,43,3,,721,31,251,29,11,18,346,-,35,-,,692,29,238,23,14,17,333,-,38,-
,Walsall Healthcare NHS Trust,RBK,406,10,210,25,8,25,113,-,13,2,,391,11,190,11,3,46,126,-,3,1,,388,12,199,13,1,30,128,-,3,2,,340,10,186,9,4,18,110,-,2,1,,325,11,189,9,4,9,93,-,9,1,,321,14,171,11,7,10,103,-,-,5,,323,11,198,16,2,6,89,-,-,1
,Walsall Teaching PCT,5M3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,22,-,-,-,-,-,-,-,-,2,,37,-,-,-,-,-,-,-,-,2,,75,3,34,3,1,1,31,-,-,2,,64,-,-,-,-,-,-,-,-,1
,Warwickshire PCT,5PM,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,18,-,-,-,-,-,-,-,1,2,,19,-,-,-,-,-,-,-,1,1,,29,-,-,-,-,-,-,-,1,1,,35,-,-,-,-,-,-,-,1,2
,Wolverhampton City PCT,5MV,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,3,,43,-,-,-,-,-,-,-,3,2,,80,2,36,6,-,2,23,2,5,4,,87,3,40,6,-,2,25,3,5,3
,Worcestershire Acute Hospitals NHS Trust,RWP,593,25,156,22,14,15,353,-,6,2,,646,22,175,19,18,13,392,-,4,3,,629,23,160,21,13,14,390,-,7,1,,625,24,143,20,13,10,411,-,2,2,,630,32,149,19,18,17,390,-,3,2,,615,25,139,15,16,12,405,-,2,1,,598,27,146,15,10,8,389,-,2,1
,Worcestershire Health and Care NHS Trust,R1A,150,7,42,4,1,5,87,-,3,1,,144,8,40,4,1,3,82,-,5,1,,157,6,45,4,2,1,95,-,2,2,,160,3,49,3,1,2,98,-,1,3,,159,2,50,3,1,1,101,-,-,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Worcestershire Mental Health Partnership NHS Trust,RWQ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,74,2,20,2,1,-,35,-,-,14,,77,2,30,4,1,-,40,-,-,-
,Worcestershire PCT,5PL,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,87,1,14,2,-,1,67,-,2,-,,91,1,17,2,-,1,68,-,2,-
,Wye Valley NHS Trust,RLQ,284,10,77,7,5,4,169,-,12,-,,276,12,66,14,4,7,159,-,14,-,,275,10,56,12,9,7,163,-,18,-,,273,6,56,10,4,6,182,-,9,-,,241,8,55,15,5,4,146,-,8,-,,235,10,53,10,6,4,142,-,10,-,,229,6,49,10,4,4,147,-,8,1
,Birmingham Women's and Children's NHS Foundation Trust,RQ3,438,10,126,8,11,5,230,-,28,20,,423,14,125,8,13,7,236,-,16,4,,422,9,141,10,13,7,227,-,5,10,,398,9,130,8,8,4,207,-,22,10,,369,10,116,7,10,9,200,-,12,5,,359,6,114,11,9,9,192,-,15,3,,357,14,102,8,10,9,196,-,17,1
YDF33,Health Education South West,,"8,585",202,986,135,92,171,"6,274",1,504,220,,"8,315",177,983,126,90,154,"6,221",-,397,167,,"8,426",187,981,128,90,178,"6,394",-,276,192,,"8,165",188,"1,009",136,103,158,"6,160",-,302,109,,"8,307",188,"1,029",150,90,152,"6,282",-,311,105,,"8,250",185,"1,100",142,95,160,"6,192",-,291,85,,"8,118",198,"1,060",152,100,141,"6,072",-,339,56
,2Gether NHS Foundation Trust,RTQ,112,1,20,3,2,5,69,-,10,2,,109,2,15,5,2,1,67,-,16,1,,112,-,19,3,2,3,66,-,19,-,,113,1,19,2,2,2,60,-,27,-,,122,2,19,2,1,1,71,-,24,2,,89,1,20,-,2,1,58,-,7,-,,101,1,24,1,3,2,63,-,6,1
,Avon and Wiltshire Mental Health Partnership NHS Trust,RVN,253,5,33,7,-,5,201,-,2,-,,222,2,40,4,1,3,170,-,2,-,,244,5,38,7,2,3,186,-,3,-,,253,7,44,6,1,4,185,-,5,1,,258,6,43,9,2,3,189,-,5,1,,265,4,47,7,2,3,196,-,5,1,,271,9,44,7,2,4,195,-,10,-
,Bath and North East Somerset PCT,5FL,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,25,-,-,-,-,-,-,-,5,-,,24,-,-,-,-,-,-,-,5,-,,39,-,-,-,-,-,-,-,5,1
,Bristol PCT,5QJ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,28,-,-,-,-,-,-,-,4,-,,27,-,-,-,-,-,-,-,1,-,,34,-,-,-,-,-,-,-,1,-,,32,-,-,-,-,-,-,-,1,-
,Cornwall and Isles of Scilly PCT,5QP,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,18,-,-,-,-,-,-,-,7,-,,70,1,4,1,-,3,46,-,15,-,,78,1,3,1,-,3,61,-,9,-,,71,1,4,-,-,3,56,-,7,-
,Cornwall Partnership NHS Foundation Trust,RJ8,93,1,10,-,-,2,74,-,6,-,,63,-,-,-,-,-,-,-,2,-,,62,-,-,-,-,-,-,-,4,-,,75,-,8,1,-,3,60,-,3,-,,69,-,8,-,-,4,55,-,2,-,,62,-,-,-,-,-,-,-,3,-,,61,-,-,-,-,-,-,-,-,-
,Devon Partnership NHS Trust,RWV,117,2,14,5,1,2,86,-,6,1,,118,1,23,4,1,2,85,-,1,1,,140,1,27,5,2,1,101,-,2,1,,137,1,29,4,2,1,97,-,3,-,,138,-,30,4,-,1,97,-,5,1,,133,2,29,3,-,1,91,-,5,2,,123,2,25,5,1,1,82,-,6,1
,Devon PCT,5QQ,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,9,-,-,-,-,-,-,-,2,-,,51,-,-,-,-,-,-,-,7,-,,51,-,-,-,-,-,-,-,6,-,,71,-,1,-,1,-,60,-,8,1
,Gloucestershire Care Services NHS Trust,R1J,45,-,-,-,-,-,-,-,1,-,,54,-,-,-,-,-,-,-,-,-,,61,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Gloucestershire Hospitals NHS Foundation Trust,RTE,828,21,107,13,6,14,557,-,87,23,,809,22,112,7,6,14,610,-,37,1,,985,25,127,14,8,17,770,-,14,10,,801,21,114,17,8,12,622,-,6,1,,814,26,124,15,9,12,620,-,3,5,,837,22,134,9,7,14,643,-,4,4,,799,24,112,16,9,16,604,-,15,3
,Gloucestershire PCT,5QH,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,80,1,6,2,-,3,68,-,-,-,,62,-,-,-,-,-,-,-,-,-,,84,1,6,3,-,3,71,-,-,-
,Great Western Hospitals NHS Foundation Trust,RN3,539,8,101,10,2,4,325,-,85,4,,514,6,84,8,5,4,270,-,117,20,,478,6,77,11,-,8,309,-,39,28,,460,7,77,8,3,2,294,-,67,2,,438,6,100,6,3,4,285,-,33,1,,437,5,99,6,7,8,287,-,24,1,,411,6,92,11,5,2,260,-,35,-
,North Bristol NHS Trust,RVJ,916,23,103,11,13,24,711,-,29,2,,901,21,113,15,10,18,702,-,20,2,,898,26,97,18,15,30,684,-,28,-,,876,17,109,15,15,31,671,-,18,-,,857,17,102,27,8,28,653,-,21,1,,850,22,97,13,12,36,645,-,23,2,,821,14,89,12,14,22,642,-,27,1
,North Somerset PCT,5M8,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,-,-,-
,Northern Devon Healthcare NHS Trust,RBZ,292,12,38,5,3,5,215,-,13,1,,302,15,30,5,6,2,223,-,20,1,,326,14,27,3,4,3,254,-,19,2,,317,13,25,3,4,1,244,-,24,3,,283,11,32,5,2,5,197,-,30,1,,230,11,25,4,2,4,158,-,18,8,,227,12,22,3,6,4,156,-,3,21
,Plymouth Hospitals NHS Trust,RK9,902,15,122,23,16,21,668,-,37,-,,917,19,118,29,17,25,675,-,33,1,,868,21,119,23,14,20,646,-,25,-,,859,14,115,23,11,15,651,-,30,-,,846,15,106,24,18,17,636,-,30,-,,868,21,123,24,13,18,632,-,35,2,,850,18,107,20,16,16,614,-,53,6
,Plymouth Teaching PCT,5F1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,36,-,-,-,-,-,-,-,2,-,,105,4,11,2,-,3,77,-,6,2,,99,1,14,4,-,1,74,-,3,2,,108,4,15,3,-,1,79,-,4,2
,Royal Cornwall Hospitals NHS Trust,REF,623,7,54,4,2,12,385,1,12,146,,631,6,57,4,4,12,424,-,14,110,,621,8,53,1,2,11,409,-,14,123,,610,9,52,2,6,11,426,-,16,88,,618,9,61,5,4,13,431,-,29,66,,615,11,62,8,4,13,439,-,35,43,,594,16,68,10,3,9,444,-,39,5
,Royal Devon and Exeter NHS Foundation Trust,RH8,689,13,41,6,6,6,479,-,125,13,,685,5,49,5,4,7,568,-,35,12,,671,6,42,5,8,10,557,-,36,7,,650,10,47,7,11,12,531,-,32,-,,628,12,38,7,8,6,514,-,41,2,,624,9,50,3,6,9,497,-,48,2,,592,9,54,5,6,10,451,-,55,2
,Royal National Hospital For Rheumatic Diseases NHS Foundation Trust,RBB,-,-,-,-,-,-,-,-,-,-,,20,-,-,-,-,-,-,-,-,-,,16,-,-,-,-,-,-,-,1,-,,24,-,-,-,-,-,-,-,1,-,,24,-,-,-,-,-,-,-,-,-,,23,-,-,-,-,-,-,-,-,-,,21,-,-,-,-,-,-,-,-,-
,Royal United Hospitals Bath NHS Foundation Trust,RD1,571,18,42,7,8,4,486,-,4,2,,528,15,38,3,7,10,446,-,5,4,,509,11,41,6,6,8,426,-,6,5,,500,13,46,7,4,7,411,-,4,8,,482,13,38,5,5,8,401,-,8,4,,476,15,42,10,7,5,385,-,10,2,,479,10,53,7,5,2,366,-,33,3
,Somerset Partnership NHS Foundation Trust,RH5,105,1,9,3,-,1,86,-,5,-,,109,2,8,3,-,-,89,-,7,-,,113,2,8,3,-,-,94,-,6,-,,105,2,6,4,-,-,85,-,7,1,,73,1,8,2,1,-,58,-,1,2,,71,-,9,1,1,-,59,-,-,1,,73,1,8,-,1,-,63,-,-,-
,Somerset PCT,5QL,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,41,-,-,-,-,-,-,-,5,1,,48,-,-,-,-,-,-,-,3,1,,60,-,-,-,-,-,-,-,3,7
,South Gloucestershire PCT,5A3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-
,Swindon PCT,5K3,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,19,-,-,-,-,-,-,-,-,1,,18,-,-,-,-,-,-,-,1,-,,22,-,-,-,-,-,-,-,1,-
,Taunton and Somerset NHS Foundation Trust,RBA,479,14,50,5,5,6,385,-,14,-,,458,13,47,4,6,15,363,-,10,-,,487,16,48,7,6,16,386,-,8,-,,480,16,54,6,7,9,374,-,14,-,,468,16,48,6,9,7,352,-,17,13,,457,15,56,6,3,4,335,-,28,10,,438,16,54,10,5,8,335,-,10,-
,Torbay and South Devon NHS Foundation Trust,RA9,461,11,40,3,11,11,355,-,27,3,,433,9,38,4,8,5,315,-,53,1,,438,6,44,5,7,12,331,-,33,-,,432,13,38,9,7,11,337,-,15,2,,422,7,42,9,6,10,337,-,7,4,,415,11,45,9,5,9,323,-,6,7,,404,10,49,9,3,8,315,-,5,5
,Torbay and Southern Devon Health and Care NHS Trust,R1G,-,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Torbay Care Trust,TAL,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,-,-,,21,-,-,-,-,-,-,-,-,1,,22,-,-,-,-,-,-,-,-,1,,19,-,-,-,-,-,-,-,-,1,,15,-,-,-,-,-,-,-,-,1
,University Hospitals Bristol NHS Foundation Trust,RA7,"1,210",29,126,14,15,38,950,-,26,12,,"1,070",21,127,18,10,24,858,-,11,1,,"1,032",18,127,12,14,27,824,-,8,2,,"1,004",26,128,11,19,25,787,-,5,3,,"1,003",22,125,8,11,16,817,-,2,2,,986,17,127,15,16,20,787,-,1,3,,983,23,128,14,10,20,784,-,2,2
,Weston Area Health NHS Trust,RA3,158,5,23,8,2,5,106,-,2,7,,188,4,28,3,4,3,139,-,2,5,,196,6,34,1,1,2,136,-,1,15,,199,4,38,1,2,4,148,-,1,1,,193,7,33,2,-,3,144,-,3,1,,193,5,40,7,2,1,138,-,-,-,,191,5,37,6,3,4,136,-,-,-
,Wiltshire PCT,5QK,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,5,-,-,-,-,-,-,-,-,-,,25,-,-,-,-,-,-,-,-,-,,26,-,-,-,-,-,-,-,-,-,,32,-,-,-,-,-,-,-,1,1
,Yeovil District Hospital NHS Foundation Trust,RA4,249,16,55,7,2,6,145,-,13,5,,239,14,43,4,1,4,153,-,12,8,,232,16,39,4,1,1,160,-,10,1,,228,12,49,5,1,8,143,-,9,1,,226,11,46,5,2,3,146,-,11,2,,223,12,54,5,5,2,133,-,11,1,,215,9,53,6,5,1,128,-,11,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
