,Bénéficiaire,Nom du projet,Fonds,Unnamed: 3,Résumé du projet,Date de commencement,Date de fin,Investissement FEDER/FSE £m,Coût total du projet £m,% du projet cofinancé par l’UE,Localisation (code postal),Zone de partenariat économique local,Pays,Type et axe du soutien (catégorie d’intervention),postcode,id,latitude,longitude
126,Aston University,Low Carbon SMEs (GBSLEP),ERDF,4,"The project helps small and medium sized enterprises to adopt energy efficient and low carbon options, this was identified as a local priorityand will improve business competitiveness and resilience.  The project offers good value for money, with unit costs below the programme benchmarks.",2017-03-01,2020-02-28,605784,1211569,0.5,B4 7ET,Greater Birmingham and Solihull,England,068 Energy efficiency and demonstration projects in SMEs ,B47ET,1677463,52.48663557,-1.890952046
127,Aston University,Agri-tech Growth and Resources for Innovation (AGRI),ERDF,1,"The project will seek to address the barriers in the agri-food industry by providing an innovation support service focused on companies involved in agri-tech, food manufacturing and logistics in the Marches LEP area.  Agri-tech and Agri-Food are priority sectors for the Marches, which have been identified as having potential for high value growth.  They link to Agri-science one of the eight great technologies identified nationally.  The project offers value for money in line with the benchmarks for similar projects.",2017-03-01,2020-02-28,1225342,2131030,0.575,B4 7ET,The Marches,England,062 Technology transfer and university-enterprise cooperation ,B47ET,1677463,52.48663557,-1.890952046
128,Aston University,System Analytics for Innovation,ERDF,1,"The goal of the project is to support businesses to make better use of their data, to develop new services and products, to leverage large public datasets (e.g. data.gov.uk) and to develop a workforce that is highly skilled in leading-edge analytical techniques. The project will deliver support for Big Data which is one of the eight great technologies identified nationally.  The project offers very good value for money against the programme benchmarks",2017-08-01,2020-07-31,853000,1706000,0.5,B4 7ET,Greater Birmingham and Solihull,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",B47ET,1677463,52.48663557,-1.890952046
129,Aston University,Transforming SMEs to improve their revenues through the adoption of advanced services. (TRAN-SIP),ERDF,3,"The project will deliver the sustainable growth of technology-focused SMEs, capturing significant untapped value from their customers through advanced services (servitization).  

It will review the competitiveness of 80 SMEs and equip them to redesign their business model (Project phase 1).  Phase 2 will lead the 50 most promising through an in depth, intensive longitudinal engagement, delivering business model innovation, organisational transformation and new technology adoption. These SMEs will be supported throughout by a community of practice and a package of specialised financial and legal expertise.  

It will achieve a minimum increase of £19.2m GVA and create at least 70 jobs.",2016-01-01,2018-12-31,584046,1168092,0.5,B4 7ET,Greater Birmingham and Solihull,England,066 Advanced support services for SMEs and groups of SMEs,B47ET,1677463,52.48663557,-1.890952046
130,Aston University,EBRI,ERDF,1,"EBRI (European Bioenergy Research Institute): Business Investment in Research is the next phase of the Aston University programme to engage local SMEs in knowledge exchange, research and innovation and bring new products and processes to market in bioenergy and energy systems. This will be delivered by the EBRI team through awareness raising events, business support and business access to demonstration facilities. The project will increase investment in research and innovation by SMEs in technologies identified through smart specialisation in the growth area of ""low carbon"".  It builds directly from demand from the business community.",2016-05-01,2019-04-30,1700990,3401980,0.5,B4 7ET,Greater Birmingham and Solihull,England,062 Technology transfer and university-enterprise cooperation ,B47ET,1677463,52.48663557,-1.890952046
131,Aston University,Aston Programme for Small Business Growth,ERDF,3,"The Aston Programme for Small Business Growth will assist potential growth businesses to increase their management capacity to develop and grow their businesses. It will also generate a network of alumni that can be used for ongoing support.  The aim of the project is to facilitate the creation of new jobs and GVA. The project will deliver 112 C1 Outputs Number of Enterprises receiving Support and 83 C8 Outputs Employment Increase in Supported Enterprise for a total project cost of £1,654,432. This is based on the established Programme that ran in February – June 2015 and will use the same model and support structures at Aston.  It also draws on the experience at Aston University of running the Goldman Sachs 10,000 Small Businesses programme between 2011 and 2015.",2016-07-01,2019-06-30,887156,1754332,0.5057,B4 7ET,Greater Birmingham and Solihull,England,066 Advanced support services for SMEs and groups of SMEs,B47ET,1677463,52.48663557,-1.890952046
132,Aston University,BSEEN,ERDF,1,"BSEEN is a student and graduate start-up support project.  It is a collaborative project led by Aston University sharing the delivery with three partner universities, Birmingham City University, University College Birmingham and Newman University.  The beneficiaries of the project are students from the four partner universities and graduates living in the Greater Birmingham and Solihull LEP (GBSLEP) area who graduated less than five years ago. 
The BSEEN project aims to create sustainable profitable businesses with growth potential.  The key goal is to create additional jobs for the GBSLEP:
• By increasing the number of students and graduates starting businesses to reduce graduate unemployment rates;
• By building a culture of enterprise among the local student and graduate community that equips each individual with the skills, knowledge and confidence required to start a business or secure graduate level employment, contributing to local and UK economic wealth.",2016-06-01,2019-05-31,729885,1459770,0.5,B4 7ET,Greater Birmingham and Solihull,England,"067 SME business development, support to entrepreneurship",B47ET,1677463,52.48663557,-1.890952046
133,Aston University,Innovation Vouchers,ERDF,1,"The project will deliver a small grant to businesses, an Innovation Voucher, to a value of £2,500. The project will also deliver innovation support and assistance to beneficiaries to ensure they maximise the value of the voucher they receive.  The Voucher will be targeted to SMART specialisation sectors.

The aim of the voucher is to encourage SMEs to innovate in collaboration with research institutes thereby increasing their capacity to innovate successfully through access to resources.  The voucher will assist SMEs to develop new processes and systems, improve their efficiency and to bring new products and services to market.",2016-07-01,2019-06-30,1226314,2452628,0.5,B4 7ET,Greater Birmingham and Solihull,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",B47ET,1677463,52.48663557,-1.890952046
134,Solihull Metropolitan Borough Council,Solihull Habitat and Nature Improvements,ERDF,6,The Solihull Habitat and Nature Improvements Project will support  121 hectares of land to attain better conservation status. This will be achieved through a three year programme of infrastructure and habitat improvements that are aligned with national and local investment priorities including the for the GBSLEP and UK Central.  The project offers  very good value for money against the key performance outputs,2017-04-01,2020-03-31,992205,1984410,0.5,B91 3QB,Greater Birmingham and Solihull,England,"085 Protection and enhancement biodiversity, nature protection",B913QB,1751397,52.411343453960804,-1.77811444049289
135,Solihull Metropolitan Borough Council,Employed for Success,ESF,1 - Inclusive Labour Markets,"Employed for Success is a local employment support project to help unemployed and inactive 30-64 year old residents of Solihull move into employment through engagement and a series of interventions to inspire, stabilise, place, achieve and sustain.
The project will support those residents who are furthest from the labour market and aged over 30, with particular focus on the 50+ age group, digital inclusion,  those in debt and people with a disability or learning difficulty. 
It will be delivered through a local framework of partners that already support clients in the local community to overcome barriers and problems prior to accessing further support. This project will pull together those services and thread employment and skills into that local delivery, ensuring there is a wraparound service between the organisations and Solihull Council that moves the client into work through the positive contributions made by the client and each partner.",2018-04-01,2020-06-12,1390069,2780138,0.5,B91 3QB,Greater Birmingham and Solihull,England,"109 Active inclusion, including with a view to promoting equal opportunities and active participation, and improving employability",B913QB,1751397,52.411343453960804,-1.77811444049289
136,Staffordshire County Council,Stoke-on-Trent and Staffordshire Growth Hub,ERDF,3,"Do: This project will address the objectives of the Open Call through increasing private-sector investment & growing SME capacity via business support, 1-2-1 advice & small grants through the provision of a ‘one stop shop’ for business support across the Staffordshire LEP geography.

Achieve: It will streamline business support in the SSLEP area, and will achieve SME growth and sustainable start-ups by providing a) localised business support and b) referrals to national programmes. This will create jobs and wealth. Some 75% of beneficiaries are expected to be eligible SMEs.",2016-04-01,2019-03-31,1635568,2904523,0.5631,ST16 2DH,Stoke-on-Trent and Staffordshire,England,001 Generic productive investment in SMEs,ST162DH,270123,52.806259,-2.115337
137,Staffordshire County Council,Rural Enterprise Programme,ERDF,3,"Grants will be awarded to sympathetically convert under-utilised buildings, transforming them into productive workspaces that increase productivity and/or create/safeguard jobs. Grants to construct new rural workspaces, creating new jobs for local people, will also be available. The Programme will be open to SMEs, operating in eligible activities, in rural areas of the Stoke & Staffordshire LEP area. Outcomes include increased availability of rural workspaces; creation and retention of rural jobs; increased SME productivity; investment in the wider rural economy; and a strengthening of the social and environmental fabric of rural areas.",2016-09-07,2019-07-31,2235092,5283242,0.4231,ST16 2DH,Stoke-on-Trent and Staffordshire,England,072 – business infrastructure for SMEs (including industrial parks and sites),ST162DH,270123,52.806259,-2.115337
138,Staffordshire County Council,Low Carbon Business Evolution Programme,ERDF,4,"The Low Carbon Business Evolution Programme (LCBEP) is going to help businesses across SSLEP area improve their productivity, energy efficiency and environmental performance by evolving into low carbon businesses.
We will help businesses engage in more energy efficient processes and practices. We will support businesses to operate within the low carbon goods and services sector by taking an innovative approach to diversifying and evolving their products and services into the low carbon sector.
Innovation and collaboration between businesses and Universities will encourage commercialisation of new low carbon energy efficient technologies, products and services.",2015-08-20,2018-12-31,691131,1156635,0.5975,ST16 2DH,Stoke-on-Trent and Staffordshire,England,"065 Research and innovation infrastructure, processes, technology transfer and cooperation in enterprises focusing on the low carbon economy and on resilience to climate change",ST162DH,270123,52.806259,-2.115337
139,Staffordshire County Council (Enjoy Staffordshire),Staffordsheer Excellence,ERDF,3,"This project will address the market failure and underperformance of the Staffordshire visitor economy through improving the quantity, quality, performance, productivity and sustainability of the Staffordshire tourism sector. Sector SMEs will benefit from dedicated business support which will improve SMEs capacity to attract increased numbers of domestic and inbound leisure and business visitors which will in turn drive increased spend and revenue, enabling SMEs to create more employment and become more sustainable over the long term.",2016-09-09,2019-06-30,507570,845948,0.6,ST16 2DH,Stoke-on-Trent and Staffordshire,England,001 Generic productive investment in SMEs,ST162DH,270123,52.806259,-2.115337
140,Shropshire County Council,The Marches Technical Assistance Project,ERDF,9,"There is significant ERDF funding allocated within the Marches ESIF Strategy (£12,469,269 More Developed and £43,446,842 Transition as at January 2014 exchange rate). The Marches TA project will provide dedicated ERDF support at a local level, additional to support available from the Managing Authority, to raise awareness of the ERDF programme/opportunities and assist applicants develop successful ERDF projects which meet the Marches ESIF Priorities and ERDF Operational Programme requirements, minimising risk, irregularities and potential claw back. 

The Marches TA team will support 56 applicants to submit applications, deliver 10 ERDF training events (80 attendees) and 24 dissemination events (540 attendees).",2016-01-01,2018-12-31,260146,458615,0.5672,SY2 6ND,The Marches,England,123 Information and communication,SY26ND,229809,52.704990044621894,-2.73177858372526
141,Shropshire Council,A Sustainable Future for Ludlow Assembly Rooms,ERDF,4,"A strategic priority for Marches LEP is to support the shift towards a low carbon ecoonomy.  This project aligns to this aim by demonstrating how to reconfigure an historic  listed building with inefficient energy systems in a way that minimises carbon emissions through the use of innovative technologies creating a demonstrator of a whole place based solution.  The project is relatively more expensive in terms of annual decrease in greenhouse gases, however it offers exceptional value for money in the more relevant output to this type of activity which is reduction in energy consumption for a public building.",2017-02-01,2019-09-30,803704,1339506,0.6,SY2 6ND,The Marches,England,013 Energy efficiency renovation of public infrastructure demons,SY26ND,229809,52.704990044621894,-2.73177858372526
142,The Open University,CityLabs,ERDF,1,"This project will address low innovation levels in SMEs, which is a local priority for investment.   The project will  address the specific gap in both technological and business skills that prevent SMEs from taking full advantage of the opportunities for innovation emerging in the region.  The project represents reasonable value for money when compared to the programme benchmarks for similar projects.",2017-06-01,2019-08-31,1100752,2204171,0.4994,MK7 6AA,South East Midlands,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",MK76AA,785550,52.024912372151,-0.7097474446391528
143,Food & drink Forum,Food Enterprise Advisory Support Team (FEAST),ERDF,3,"The Food Enterprise Advisory Support Team (FEAST) is a new dynamic business support programme targeting the priority D2N2, SEMLEP and NEP Food and Drink sectors. In a comprehensive approach FEAST will deliver baseline survey technical advice, business mentoring, local events, an apprentice programme and capital grants - all support needed by growing food SMEs to help them create quality jobs for the D2N2, SEMLEP and NEP areas. FEAST complements both the Growth Hubs and programmes for the other D2N2, SEMLEP and NEP priority sectors, and secures significant outputs in a value for money approach.",2016-01-01,2019-03-01,3575153,7150306,0.5,NG5 9RG,D2N2,England,001 Generic productive investment in SMEs,NG59RG,700706,52.999332,-1.176255
144,Leicester City Council,Leicester and Leicestershire Business Gateway - (Growth Hub),ERDF,3,"The Business Gateway project offers SMEs across Leicester and Leicestershire a single point to access business support to help them achieve their growth aspirations. It will champion entrepreneurship and the take up of business support, to achieve sustainable growth. This single channel enables efficient local referral routes, based on a common infrastructure, and ensures easy access to the most appropriate business support based on the needs of the SME, identified through a two-stage diagnostic process. The outcome of this support is for SMEs to engage in the innovation of new products, markets and processes to achieve their aspirations for growth.",2015-09-01,2018-12-31,675158,1350312,0.5,LE1 1FZ,Leicester and Leicestershire,England,001 Generic productive investment in SMEs,LE11FZ,1787870,52.6342279902528,-1.12985943401299
145,Leicester City Council,LLEP Technical Assistance Programme ERDF (2015-18),ERDF,9,"This project will enhance the provision of services by approved providers through identifying the specific local needs relevant to the call for tenders as relevant to our local strategies.  The project will enable the local ESIF Committee to support the Managing Authority to deliver their commitments at a local level. Through the deployment of technical and specialist knowledge, the assistance has been designed to enable improved connectedness between all of the constituent parts of the programme by supporting our partners and service providers to benefit from key learning, information and best practice to inform current as well as future policy direction for the ERDF provision and ultimately future LLEP strategies.",2015-09-01,2018-10-31,315201,630408,0.5,LE1 1FZ,Leicester and Leicestershire,England,123 Information and communication,LE11FZ,1787870,52.6342279902528,-1.12985943401299
146,Leicester City Council,Collaborate – for Business Growth,ERDF,3,This project will offer a package of support to small and medium sized businesses operating in the eight priority sectors identified by the Leicester and Leicestershire Local Enterprise Partnership.  The project offers good value for money against programme benchmarks.,2016-10-01,2019-09-30,3100690,7293051,0.4252,LE1 1FZ,Leicester and Leicestershire,England,001 Generic productive investment in SMEs,LE11FZ,1787870,52.6342279902528,-1.12985943401299
147,Leicester City Council,LLEP ESF Technical Assistance Project 2015-18,ESF ,3 - Technical Assistance,"This project will enhance the provision of services by approved providers through identifying the specific local needs relevant to the call for tenders as relevant to our local strategies.  Through the deployment of technical and specialist knowledge, the assistance has been designed to enable improved connectedness between all of the constituent parts of the ESF programme by supporting the Opt-In partners and providers delivering on the open calls in the ESF programme and to benefit from key learning, information and best practice to inform current as well as future policy direction for the provision and ultimately future LLEP strategies",2015-09-01,2018-08-31,425244,850491,0.5,LE1 1FZ,Leicester and Leicestershire,England,123 Information and communication,LE11FZ,1787870,52.6342279902528,-1.12985943401299
148,Leicester City Council,EmployME Leicester,ESF [inc YEI],1- Inclusive Labour Markets,"This project will provide additional support to young people with Special Educational Needs and Disability (SEND), known to Youth Offending (YOS) and Looked After Children (LAC).  The aim of the project is to progress these vulnerable young people aged 15 – 25 years into employment, education, training or volunteering opportunities.  This additional intervention will help individuals at the right time to move towards and into employment.",2017-04-01,2018-05-31,370758,556135,0.667,LE1 1FZ,Leicester and Leicestershire,England,"103 Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee",LE11FZ,1787870,52.6342279902528,-1.12985943401299
149,Leicester City Council,Leicestershire Employment Hub,ESF,2- Skills for Growth,"The employment hub will establish an employment gateway for business in the area. The project will drive up demand for, and the supply of, apprenticeships, traineeships, work placements and internships. It will also deliver: Employee engagement, employer single contact point, partner interface, referrals, targeted recruitment and deliver a website and other marketing activities to promote opportunities.",2017-10-01,2020-08-31,1973814,3947920,0.5,LE1 1FZ,Leicester and Leicestershire,England,"118 Improving the labour market relevance of education and training systems, facilitating the transition from education to work, and strengthening vocational education and training systems and their quality, including through mechanisms for skills anticipation, adaptation of curricula and the establishment and development of work-based learning systems, including dual learning systems and apprenticeship schemes",LE11FZ,1787870,52.6342279902528,-1.12985943401299
150,Derby City Council,Project MUNIO,ERDF,5,"Project MUNIO will promote climate change adaptation, risk prevention and management through the delivery of interventions to address specific flood related risks, ensuring disaster resilience and developing disaster management systems within key areas of the Lower Derwent corridor, in and around Derby City Centre. The investment made into Project MUNIO will support growth and job creation by enabling sustainable economic growth through the delivery of interventions to reduce significant flood risk to businesses and properties. The value for money is reasonable in view of logistical circumstances and options available to the applicant. As a result the interventions will address key investment and economic growth constraints currently in the Lower Derwent corridor.",2017-06-01,2019-12-01,3146675,6293354,0.5,DE1 2FS,D2N2,England,087 Adaptation to climate change measures and prevention of climate change,DE12FS,1339694,52.923192,-1.473997
151,Derby City Council,The D2N2 Technical Assistance Programme,ERDF,9,"The project will deliver a LEP wide Technical Assistance programme involving a range of key delivery partners to increase the understanding of and engagement with the ERDF programme. 

The project proposes a hub and spoke delivery model with core TA hub services being delivered by the D2N2 LEP with geographic and sector specialist organisations (e.g. local authorities / Low Carbon sector specialists) providing bespoke ‘spoke’ services to applicants to the ESIF programme.  

This model will promote ESIF opportunities and ensure a pipeline of compliant projects are supported to successfully deliver the targets identified in the D2N2 ESIF strategy and Operational Programme.",2016-01-01,2018-12-31,415319,830636,0.5,DE1 2FS,D2N2,England,123 Information and communication,DE12FS,1339694,52.923192,-1.473997
152,Derby City Council,The D2N2 Technical Assistance Programme,ESF,3 - Technical Assistance,The project will deliver a LEP wide Technical Assistance programme involving a range of key delivery partners to increase the understanding of and engagement with the ESF programme. ,2016-01-01,2018-11-30,430156,860312,0.5,DE1 2FS,D2N2,England,123 Information and communication,DE12FS,1339694,52.923192,-1.473997
153,Worcestershire County Council,Enterprising Worcestershire Start-Up and High Growth Start-Up Support Programme,ERDF,3,"The programme will provide a comprehensive package of business support with revenue and capital grants for the development and growth of small start-up and high growth potential start-up businesses within Worcestershire. The programme will work with the Districts, the Prince's Trust and the University of Worcester as delivery partners, to provide the most co-ordinated and comprehensive package of business start-up support available.  The programme will stimulate enterprise, develop new market opportunities, encourage investment and economic success, create new jobs and facilitate growth. The programme will provide a specially targeted business support service for entrepreneurs in Worcestershire, particularly for those which typically do not understand or access other forms of business support.",2016-09-12,2019-08-31,1076648,2153296,0.5,WR5 2NP,Worcestershire,England,"067 SME business development, support to entrepreneurship",WR52NP,41996,52.1855527757925,-2.18253929851204
154,Worcestershire County Council,Investing in Growth,ERDF,3,"The programme will provide a comprehensive package of investment readiness support and revenue and capital grants for the development, survival, consolidation and growth of small businesses within Worcestershire. The programme will stimulate enterprise, develop new market opportunities, encourage investment, foster economic success, create new jobs, safeguard existing jobs and facilitate growth. The programme will provide a dedicated support package for Worcestershire businesses to ensure they are investment ready in order that they can access local regional and national programmes.",2016-10-01,2019-09-30,1150000,2300000,0.5,WR5 2NP,Worcestershire,England,001 Generic productive investment in SMEs,WR52NP,41996,52.1855527757925,-2.18253929851204
155,Worcestershire County Council,Worcestershire Technical Assistance Programme,ERDF,9,The project will provide the technical capacity to enable Worcestershire to benefit effectively from the opportunities presented in the 2014-2020 ERDF Operational Programme.,2016-05-26,2019-06-30,102244,204488,0.5,WR5 2NP,Worcestershire,England,123 Information and communication,WR52NP,41996,52.1855527757925,-2.18253929851204
156,Worcestershire County Council,Worcestershire Superfast Broadband,ERDF,2,The project will extend the roll out of broadband and support uptake of broadband and associated technologies amongst Worcestershire small and medium sized enterprises.  Improving business access to superfast broadband is a key priority for the LEP.  The costs have been tested by the market through procurement to ensure the best value for money is offered.,2017-10-01,2019-06-30,1127415,2254830,0.5,WR5 2NP,Worcestershire,England,082 ICT Services and applications for SMEs,WR52NP,41996,52.1855527757925,-2.18253929851204
157,Worcestershire County Council,"Business Energy Efficiency Programme Worcestershire, Herefordshire and Telford",ERDF,4,"This 3 year project continues and builds on the successful ERDF funded Resource Efficient Worcestershire (REW) programme.  It will provide energy efficiency advice and grant support to small and medium size businesses in Worcestershire, Herefordshire and Telford & Wrekin, enabling them to improve profitability, productivity and energy efficiency, whilst reducing carbon emissions and increasing take up of renewable energy.  The project will support 280 SMEs and achieve carbon reduction of at least 2520 tonnes across these areas.  C. 140 grants for technical support &/or installation of energy efficiency and renewable energy measures will be provided.  Advice relating to water, waste and raw materials will also be given, where it can be shown that energy and carbon savings can be made.",2016-04-01,2019-03-31,1797112,3717234,0.4835,WR5 2NP,Worcestershire,England,068 Energy efficiency and demonstration projects in SMEs ,WR52NP,41996,52.1855527757925,-2.18253929851204
158,Worcestershire County Council,Enterprising Worcestershire SME Growth Programme,ERDF,3,"The programme will stimulate enterprise, develop new market opportunities, encourage investment, foster survival and economic success, create new jobs, safeguard existing jobs and facilitate growth. The programme will provide a dedicated business support service for those SMEs in Worcestershire, who currently do not access national programmes.
The programme will support 300 SMEs, provide grants to at least 50 SMEs and will stimulate private sector investment of by providing access to finance through match funded grants. The programme will create 75 jobs leading to an increase in GVA of £3.6m per annum.",2016-07-01,2019-06-30,604005,1208010,0.5,WR5 2NP,Worcestershire,England,001 Generic productive investment in SMEs,WR52NP,41996,52.1855527757925,-2.18253929851204
159,Worcestershire County Council,Worcestershire Low Carbon Business Programme,ERDF,4,"This 3 year project will provide support to 80 Worcestershire SMEs, providing a catalyst to further growth of Worcestershire's Low Carbon economy and supporting businesses at a time of transition in national low carbon energy policy. The project will enable SMEs to adopt larger scale low carbon technology, such as renewable energy, and to innovate and grow in, or diversify into, the low carbon sector.   

The project will provide independent consultancy support and increase SME's collaborative links within the sector, including with research institutions, to enable greater innovation, research and development leading to the development and adoption of low carbon products and processes, including low carbon energy installations, such as geothermal, biomass, hydro, PV and solar thermal.

This will be financed by a grant fund of £0.9m providing 20 capital and revenue grants, with 55% matched investment from targeted SMEs (c. £1.1m private sector investment).

The project will increase the number of businesses in Worcestershire's  low carbon sector that are innovation active and the number of  SMEs in the county generating renewable energy, (an increase of 1076KWp).  It will reduce carbon emissions by 1039 tonnes CO2e and increase job creation and protection.",2016-10-01,2019-09-30,1194822,2389669,0.5,WR5 2NP,Worcestershire,England,"065 Research and innovation infrastructure, processes, technology transfer and cooperation in enterprises focusing on the low carbon economy and on resilience to climate change",WR52NP,41996,52.1855527757925,-2.18253929851204
160,Worcestershire County Council,Worcestershire Proof of Concept,ERDF,1,"Worcestershire Proof of Concept programme will support businesses to develop innovative new products and processes.   Applicants will be supported to investigate and, advance innovative ideas and to commercialise new innovations.  Grants of up to £30,000 (£50,000 in exceptional circumstances) will be available, up to 50% of project costs.  Innovation events will be established as a collaboration platform for SMEs, research organisations and intermediaries.    The programme will stimulate innovation, diversification and R&D, while increasing investment, creating new products and improving the productivity, profitability and competitiveness of 45 Worcestershire SMEs This will lever in £1.35m private sector investment in Worcestershire.",2016-04-01,2019-04-30,1537394,3074788,0.5,WR5 2NP,Worcestershire,England,"064 – Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)",WR52NP,41996,52.1855527757925,-2.18253929851204
161,Worcestershire County Council,Worcestershire Growing Cyber 2,ERDF,3,"The programme will provide a comprehensive package of business support and revenue and capital grants for non-cyber companies to develop their Cyber Security to aid the survival and growth of small businesses within Worcestershire. The programme will support Cyber Security in non-Cyber SME's, which will in turn develop new market opportunities, encourage investment, foster survival and economic success, create new jobs, safeguard existing jobs and facilitate growth in the local economy.",2016-10-01,2019-09-30,834898,1669796,0.5,WR5 2NP,Worcestershire,England,"056 investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities",WR52NP,41996,52.1855527757925,-2.18253929851204
162,Worcestershire County Council,Worcestershire ESF Technical Assistance Programme,ESF,3 - Technical Assistance,The project will provide the technical capacity and evidence base that will enable Worcestershire to benefit effectively from the opportunities presented in the 2014-2020 ESF Operational Programme,2016-03-09,2018-12-31,183850,367701,0.5,WR5 2NP,Worcestershire, England,123 Information and communication,WR52NP,41996,52.1855527757925,-2.18253929851204
163,Worcestershire County Council,Worcestershire Apprenticeship Hub and Clearing House,ESF,1- Inclusive Labour Markets,"The Worcestershire Hub and Clearing House has been recognised as one of the main project to be supported within the Strategy.  The Strategy identifies the Hub as a mechanism where unsuccessful apprenticeship candidates can receive further support, advice and guidance and referral to appropriate and relevant support programmes to prepare for other apprenticeships and opportunities in Worcestershire. The project will be supported through a programme of employer engagement (particularly with SMEs) to increase employer demand for apprentices.   ",2017-10-01,2020-03-31,738750,1477507,0.5,WR5 2NP,Worcestershire,England,"103 Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee.",WR52NP,41996,52.1855527757925,-2.18253929851204
164,Coventry City Council,Innovative Coventry and Warwickshire: Place Test Bed,ERDF,1,"This project will ensure that the benefits of innovation and new technology are felt in the local economy of Coventry and Warwickshire. The area’s urban and rural centres will be used as test-beds for emerging technologies in the fields of data capture, energy usage, IT connectivity, smart systems, digital technology and health and assistive technologies.

This activity will encourage collaboration between the knowledge base, innovative businesses and local authorities, and support SMEs to develop, test and market new products. It will also demonstrate the benefits of new technology to local decision-makers to ensure it is adopted more quickly.",2016-01-01,2018-12-31,1759786,5186242,0.3393,CV1 5RR,Coventry and Warwickshire,England,062 Technology transfer and university-enterprise cooperation ,CV15RR,1386119,52.4070887322353,-1.5076135286871397
165,Coventry City Council,Ambition Coventry,ESF [inc YEI],1- Inclusive Labour Markets,"Ambition Coventry will deliver coherent, quality marked services harnessing cross sector skills, knowledge and experience to support young people (YP) who are disengaged, or at risk of disengagement, into jobs. Ambition Coaches will provide personalised  support, directing referrals into an ‘in place’ portfolio of ‘Ambition Coventry’ quality marked barrier breaking, education, training and employability provision, delivered by a public, private and third sector consortium to provide tailored packages for each YP.  3,100 YP (including NEETS accessing no other support) will receive personalised support to meet their needs. At least 70% (2,170) will secure or make demonstrable progress towards securing employment.",2016-01-01,2018-07-31,5532008,8298012,0.67,CV1 5RR,Coventry and Warwickshire,England,"103 Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee",CV15RR,1386119,52.4070887322353,-1.5076135286871397
166,Coventry City Council,Coventry & Warwickshire Skills 4 Growth,ESF ,2- Skills for Growth,"Activity will support individuals to up-skill and develop skills to meet changing requirements in the workplace. Improving the qualifications of low skilled and part- time workers will support sustainable employment, social inclusion, promote gender equality and reduce gender gaps in the workforce.",2017-01-01,2019-12-31,1144500,2289000,0.5,CV1 5RR,Coventry and Warwickshire,England,"117 Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and competences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competences",CV15RR,1386119,52.4070887322353,-1.5076135286871397
167,Coventry City Council,ConnectMe,ESF,1- Inclusive Labour Markets,"ConnectMe will make it easier for Coventry’s long term unemployed and economically inactive people experiencing often multiple and complex barriers and will support them to move into education, training or employment. Our partnership of 9 specialist local voluntary, HE and statutory organisations will work together to provide cohesive support that includes training, skills development and employability focused activity designed to engage participants, raise aspirations, increase confidence and skills and develop capacity and resilience.",2017-01-01,2020-06-30,1231693,2665224,0.5,CV1 5RR,Coventry and Warwickshire,England,"109 Active inclusion, including with a view to promoting equal opportunities and active participation, and improving employability",CV15RR,1386119,52.4070887322353,-1.5076135286871397
168,Coventry City Council,Routes to Ambition,ESF,1- Inclusive Labour Markets,"This project will develop effective employment support to marginalised young people (yp) at risk of becoming NEET. The services will target those not eligible for support from the ‘in place’ Ambition Coventry programme, (due to their age or for other reasons). We will deliver innovative engagement programmes for 1,045 yp, including those living in areas of highest deprivation, who are disengaged from school curriculum at year 11, aged 15-24 and/or have disabilities or health problems. This provision will ensure that the most disengaged young people are given the support they need to place them in a position to compete effectively for the job opportunities available in the local economy. It will also ensure that once that once they are eligible for already in place provision (for example they have reached the age of 16), they have received the boost they need to be able to benefit to the maximum extent from the high quality employment support available in Coventry.",2017-01-01,2020-06-30,1271653,2543301,0.5,CV1 5RR,Coventry and Warwickshire,England,"103 Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee",CV15RR,1386119,52.4070887322353,-1.5076135286871397
