,project_id,coordinator,total_budget,eu_contribution,background
88,2838,"The Chancellor, Master and Scholars of The University of Oxford (Dept. of Earth Sciences)",1482768.00,740957.00,"The world’s population growth over the last 50 years has resulted in greater agricultural intensification through, primarily, the increased application of fertiliser and manure. Despite strong emphasis in European directives and Community action programmes, nitrate contamination is still having adverse effects on water quality. Nitrates are highly leachable and therefore are rapidly lost to groundwater and surface waters. Some 68% of Europe’s rivers exceed natural background levels (0.3-1mg/l according to the European Environment Agency). In England, 27% of water bodies have nitrate concentrations ≥30mg/l. This has an immeasurable effect on the biodiversity of surface waters due to the loss of pollution sensitive species and eutrophication; it also impacts on human health; the recreational and tourist value of rivers; productivity of fisheries and the cost of treating drinking water (for England and Wales alone, this represents €63m/yr). In many European countries it is estimated that by 2100 many water bodies will have nitrate levels ≥50mg/l if farming practices are not altered."
89,2839,The Living Rainforest,4486562.00,2243281.00,"In Europe today, greenhouses and integrated buildings are often built and maintained throughout their product lifecycle by unsustainable methods. There is a lack of synergy between economic horticulture and environmental conservation, resulting in serious problems relating to fossil fuel consumption, pesticide use and nutrient emissions. The yearly European fossil fuel consumption is estimated to be equivalent to 5 megatons (5 million tonnes) of oil, generating emissions of about 10 megatons of carbon dioxide (CO2). Hence, there is an urgent need to reduce CO2 emissions."
90,2937,The National Trust for Scotland,840458.00,420229.00,"The islands of Canna and Sanday, as well as being a Site of Special Scientific Interest, qualify as a Special Protection Area (SPA) by regularly supporting more than 20 000 individuals of 13 species of seabirds. Breeding success had fallen and seabird numbers decreased severely from about 21 000 breeding seabirds in 1995 to about 14 000 in 2004. This decline was due to increasing levels of predation of eggs and chicks by introduced brown rats (<i>Rattus norvegicus</i>). The Manx shearwater (<i>Puffinus puffinus</i>) had almost disappeared from the islands as a breeding bird.  Only one seabird, the black-legged kittiwake (<i>Rissa tridactyla</i>), was increasing in number on the islands and only in areas where it nests on vertical cliffs inaccessible to rats."
91,2938,Central Science Laboratory,3770771.00,1827130.00,"The white-headed duck (<i>Oxyura leucocephala</i>) is the only stiff-tail duck indigenous to Europe. It is listed in Annex I of the EU Birds Directive and is a priority species for LIFE funding. Its only European breeding population is in Spain, where it is strictly protected (over 82% are on Natura 2000 sites); there is also a wintering population in Greece, Romania and Bulgaria, which breeds in western and central Asia. The greatest threat to their survival is now the risk of interbreeding with the ruddy duck (<i>Oxyura jamaicensis</i>), an American species, introduced to the UK in the 1940s. The UK is currently home to around 5,000 feral ruddy ducks, 95% of Europe’s total. In 1982 ruddy ducks were recorded in Spain; hybridisation with the white headed duck was recorded in 1991. A total 139 ruddy ducks have been recorded in 43 different locations in Spain since 1992. In captivity, these mixed ducks are fertile to at least the third generation, and a total of 59 hybrids were recorded on 23 sites in Spain between 1991 and 2003."
92,2939,English Nature,1570163.00,628065.00,"The River Avon Site of Community Interest (SCI) supports more than 180 aquatic plant species, outstanding fish fauna, the annex II species Desmoulin’s whorl snail (<i>Vertigo moulinsiana</i>), and numerous nationally important species."
93,3018,Environment Agency,624994.00,312497.00,"Climate change is the most serious environmental issue facing the world. As a signatory to the Kyoto Protocol, the EU is committed to achieving an 8% reduction in greenhouse gas emissions by 2012 compared to 1990 levels. To that aim, the EU has adopted Directive 2003/87/EC establishing a scheme for greenhouse gas allowance trading within the Community. Since 2005, it enables some 12,000 large electricity generators and industrial plants in the EU to buy and sell permits to release carbon dioxide (CO2) into the atmosphere.
	
Currently, the EU’s Greenhouse Gas Emissions Trading Scheme (ETS) covers approximately 50% of CO2 emissions across the EU. However, the threat of climate change and the perceived efficacy of economic instruments has led to proposals to extend the scope of the ETS to cover greater volumes of greenhouse gas emissions. 

Phase I of the ETS runs for three years from 2005. Phase II will run for five years from 2008. The Directive 2003/87/EC required the European Commission to review the scheme in 2006 and, where necessary, make recommendations for expanding or improving the scheme."
94,2761,Environment Agency,1451282.00,725641.00,"Despite EU regulation that addresses specific waste streams and the implementation of the Waste Framework Directive and related directives, the amount of hazardous waste generated is increasing. Without urgent action, targets for European waste may not be met. The problem of hazardous waste is particularly acute in communities remote from a waste infrastructure; this can lead to stockpiling and expensive long-distance waste movements. Previous initiatives have treated SMEs in the same way as major industry, but this is a flawed approach as major industry has benefited from better access to environmental guidance and advances in clean technology."
95,2763,South East England Development Agency,2202145.00,1090138.00,"The ecosystem approach (EA) is a methodology that aids decision-making. It helps integrate economic, social and environmental dimensions of sustainability – i.e. sustainable use of natural resources, equitable sharing of the benefits derived from the use of natural resources and conservation of those resources.
Guidance on the practical application of EA, however, is lacking. There is a need for demonstration projects that have the ecosystem approach at their core from the outset. The principles of EA can be related directly to the requirements of the Water Framework Directive so that projects structured around EA can also help meet the terms of the directive."
96,2766,WRc plc,1393547.00,696774.00,"The cleanliness of Europe's lakes and other bodies of fresh water is threatened by effluent discharges and excessive fertiliser usage. Currently, most domestic wastewater is treated using physical and/or biological processes to remove large particles (primary treatment) and decrease the oxygen demand on receiving waters (secondary treatment). Additional treatment to remove nitrogen and phosphorous from sewage effluent may be required under recent European Directives. This can be achieved by installing wastewater polishing systems (or tertiary treatment). However existing wastewater polishing systems can be costly to implement and operate, and produce sludge which must itself be disposed of. More cost effective, environmentally-friendly wastewater polishing solutions are therefore being sought by the water industry."
97,2768,University of Leeds,688674.00,342337.00,"Economic activity is the key cause of major environmental problems, from global warming to biodiversity, from acidification to ozone depletion and loss of biodiversity. Because appropriate tools for integrating environmental aspects into everyday financial decision-making are lacking, financial market decisions can cause a gross environmental burden.
One contributing factor is how existing tools fall back on a natural-science based logic that is incompatible with the rationale underpinning resource allocation decisions in the financial markets. All current approaches to eco-rating concentrate on the way the environmental burden is created by a company's economic activities."
98,2769,Kirklees Metropolitan Council,1803696.00,900164.00,The EU Eco-Management and Audit Scheme (EMAS) is one of the key tools highlighted for enabling application of the 6th Environmental Action Programme. Increasing its application internationally and developing an internationally accepted and understood approach for effective implementation of EMAS in the public sector therefore seems essential.
99,2773,"University of Wales, Bangor",3070866.00,1525928.00,"Europe is facing a number of large-scale environmental problems related to waste and land-use. The amount of waste currently produced is estimated to be in the region of two billion tonnes a year, and this is increasing by some 10% annually. A significant proportion of this waste (approximately 410 million tonnes per year) relates to industrial waste. At the same time, urban areas, in which 80% of Europeans live, face a common challenge of sustainable development. Furthermore, previous industrial activity in rural areas has also created an inheritance of 52 million hectares of degraded agricultural land."
100,2621,The University Court of the University of St. Andrews,3113260.00,1537639.00,"The incidental capture and killing of small cetaceans during fishing activities is a major threat to their conservation. The species considered most at risk in northwest European waters are the harbour porpoise (<i>Phocoena phocoena</i>), which can be trapped in bottom-set gillnet fisheries, and the common dolphin (<i>Delphinus delphis</i>), which can be trapped in pelagic trawl fisheries."
101,2620,Scottish Natural Heritage,4695816.00,2347908.00,"The population of the Atlantic salmon, Salmo salar, has declined in many European countries as a result of commercial netting, deteriorating water quality and barriers to migration.  The species is still present in almost all rivers in Scotland but, even here, where water quality is generally good, there are many problems to be addressed.  Scottish rivers such as the Dee, Tweed, Tay and Spey are ranked amongst the most famous salmon fishing rivers in the world and the conservation and sustainable exploitation of salmon stocks is the primary role of District Salmon Fisheries Boards."
102,2287,"Institute of Geography and Earth Sciences, University of Wales, Aberystwyth",1333408.00,666704.00,"Wales has a long history of base metal mining and this has left a legacy of highly contaminated spoil tips and drainage waters.  Galena, and later sphalerite, were the main minerals exploited in the ore bodies that, in this area, have a low pyrite content and typically no carbonate in the gangue.  These drainage waters are circum-neutral, but still highly contaminated and cause significant water quality failures in the receiving water courses (e.g. the Freshwater Fish Directive 78/659/EEC) and ultimately to the pollution of the sea.  Of particular concern are cadmium, lead and nickel, which have been identified as ‘Priority hazardous substances’ (ENV/191000/01); along with the ubiquitous zinc.  In 2000 nearly 200km of river systems in England and Wales failed water quality standards as a result of metal pollution from abandoned mines.
Traditional methods of cleaning these drainage waters are usually costly and require large areas of land, such as removing the iron by decreasing the acidity of the water and then further treatment to remove the remaining metals. This is undertaken through ""active"" chemical treatment or ""passive"" treatment such as allowing the acidic water to flow over the limestone to reduce the acidity, and then through reed beds to slow down the flow and allow the iron to precipitate."
103,2558,Sundome Products (Llandidloes) Ltd trading as Evans Logistics,3193578.00,958073.00,"The production of electrical and electronic equipment is one of the fastest growing domains of manufacturing industry in the western world. In 1998, 6 million tonnes of Waste Electrical and Electronic Equipment (WEEE) was generated, with volumes expected to continue to increase by at least 3-5% per annum. Inefficient waste management procedures, especially a lack of proper pre-treatment, cause environmental problems due to the hazardous content of the WEEE and threat of leakage of dangerous chemicals and gases. 
Current systems used to dispose of end-of-life fridges and freezers are not always effective – producing recovered materials that retain a high level of contamination, or releasing latent CFCs into the atmosphere. In addition, many systems do not contain, or collect, Pentane from appliances. Although this gas is not harmful to the environment, it is highly inflammable and can cause explosions, posing a health and safety risk.
While fridges and freezers can no longer be sent to landfill, high volumes of other large household electrical and electronic appliances are still disposed of through this route. These waste products cause negative environmental effects during land-filling, due to the variety of different substances they contain. Fridges and freezers are no longer incinerated, but high volumes of other large household appliances continue to use this disposal route. Incineration has been identified as the largest source of emissions of dioxins and furans to air in Europe."
104,2328,Isle of Wight Council (Isle of Wight Centre for the Coastal Environment),1682954.00,841477.00,"The EU has a long and complex coastline where natural hazards, including instability, erosion, coastal flooding, landslides and hydrogeological elements present significant risks to land use and development. Intensive coastal development and continuing development pressures are exacerbating challenges posed to coastal communities by the impact of climate change and the dynamic nature of the coastal environment.

Climate change will affect the whole hydrological cycle with resulting changes in weathering, coastal erosion and instability. The effects of these problems throughout the EU could be very serious, especially for low-lying regions, unstable cliffs and slopes, and regions without the economic and social strength to adapt.  Fluvial and coastal flooding and landslides pose a risk to over five million people in England alone, whilst 80% of Italy is significantly affected by natural hazards.

Sustainable coastal risk management measures are needed to protect these areas. They should involve understanding and working with natural coastal processes wherever possible and promote adaptation to coastal and climate change."
105,2329,G & P Batteries Limited,1514434.00,436330.00,"This project addresses an important environmental concern for human health and safety. Despite the precautions taken by battery breaking organisations to protect workers with Personal Protective Equipment (PPE), lead, cadmium and acid exposure and dust inhalation does occur, including that caused by lead sludge being transferred across sites on fork lift truck tyres. The long-term effects of such exposure have been well documented, including the detrimental impact on human health.

Some member states undertake no end-of-life battery processing, all their waste products are sent to other states for recovery and recycling. The transportation of a hazardous waste such as whole batteries is a potential environmental risk in terms of possible lead and acid contamination. It is easier, cheaper and safer to send separate components produced by this project rather than whole batteries."
106,2331,Leicester City Council,2982206.00,1487569.00,"Local authorities are a major purchaser of goods and services across Europe and are responsible for a very significant range of environmental impacts related to the specification, purchase, transportation, use and disposal of goods and related services. As a result of this large spending power, the local authority sector could potentially have a great influence in encouraging the production of ecological or green goods and services. However, presently a lot of municipalities feel restricted from applying environmental considerations to procurement. In part, this is the result of perceived concerns about the status of environmental procurement requirements under EU law, and in part it is because of a lack of tried and tested tools to assist municipalities in applying environmental criteria to every stage of the procurement process. Added to this, many local authorities recognise the importance of working with the supply chain to encourage the development of further green products and processes but are unclear as to how to begin the process of dialogue and encouragement. Lastly, it is recognised that there are an increasing amount of green product alternatives in the marketplace, but many municipal staff involved in the procurement of goods and services do not have access to information regarding the environmental performance and suppliers of such products or access to workable procurement network structures and contract specifications related to these goods."
107,2332,London Borough of Sutton,1824191.00,910271.00,"Green space is an integral and vital element of the urban environment. Such spaces (including parks, playgrounds, cemeteries, school and sports grounds, individual gardens, private land, amenity open space, river banks etc) are subject to ever-increasing development pressure and complex use requirements by different stakeholders, and as such are often the attention of potentially competing urban planning policy focus. There is therefore a very obvious need to integrate the environmental management needs of these green spaces with other urban policy requirements. Furthermore, there has, over the last 20 years, been increasing recognition of the local nature conservation value of such sites in urban development plans, often with particular areas of urban green space being designated as a site of nature conservation interest even though they do not contain species or habitats of note in respect of the Habitat Directive or Natura 2000. Such sites are often highly valued as city wild space by local communities, and therefore the management of such spaces also needs to reflect the wildlife dimension. A participatory approach to the policy planning process and practical implementation can help stakeholders to facilitate the further integration of urban biodiversity with other urban planning and development needs."
108,2333,Mixlance (Technical Services) Ltd,4876407.00,1004062.00,"Traditionally, quarry and road stone producers throughout Europe have used conventional asphalt plants to manufacture the majority of asphalt products. However, such plants have limitations:

- They are designed to produce coated products in large quantities as required for commercial viability only;
- The continuous nature of the process causes waste when product recipes are changed and makes such changes more difficult;
- Plants are stationary and have a significant environmental footprint;  
- Plants also require large storage areas to maintain operational levels of feedstock;
- Wastage problems occur because of operational difficulties in matching the various elements of the process;
- Systems have high fuel consumptions, wasting both electricity and gas/oil through an inability to modulate burners and dryers and;
- Plants have high maintenance costs.

Batch-heater coating plants were historically designed for particular applications for a small sector of the British market. However, progressive development of production features, involving additional mechanical components and updated process control systems, means that these plants now offer a high degree of control for the production of coated roadstone. The advantages of batch heaters are that they are:

- able to produce the product in variable quantities from 0.5 to 5.0 tonnes, on a batch-
  by-batch basis;
- able to offer a range of 150 product mixes;
- suitable for urban locations;
- require a smaller storage area; and
- leave a smaller environmental footprint. 

However, like large asphalt plants, batch-heater coating plants use large motors to operate conveyors, fans and burners to heat the aggregate to the required temperature. They use high levels of power and consume a considerable amount of fuel. This is further exacerbated by the difficulty involved in modulating the burners or fans when lower temperatures are required."
109,2338,SYNGENTA UK,3565066.00,1782533.00,"Agricultural production can have negative impacts on the environment, and there is 
considerable concern as to the sustainability of conventional land-use practices on arable land in Northern and Central Europe. Previous and current applied research studies have demonstrated the environmental damage that may result from unsustainable use of land resources, particularly in over-cultivation of arable soils."
110,2340,JBR Recovery Limited,4821610.00,1733125.00,"The current population of the European Union is approximately 375 million. Each year 40% of this population will have 2 or 3 medical X-Rays taken. Each of these X-rays is stored for 7 years before being taken for disposal. Waste X-Ray plates are also produced from animal medical processes and industrial activities across Europe, together with other forms of plastic photographic film. There is currently more than 50,000 tonnes of used film in stock within the EU.  Each of the films contains valuable elements of polymer (PET) and silver that can be recovered for re-use.

There are three methods of recovery that are currently being used across Europe, which are: 
- Incineration 
- Caustic Based Washing Process
- Enzymes Based Washing 

Each of these processes recovers waste material for recycling but can potentially cause serious environmental damage through pollution via air quality, water leachate or fugitive emissions. In addition, all the processes produce end waste that is sent to landfill.

The strategy of the European Union as outlined in the 6th Action Waste Programme seeks waste solutions that move towards sustainability and long term quality of life with a high level of environmental protection, together with an aim to prevent, recycle, recover and dispose of waste through environmentally sustainable, cost effective, efficient and safe methods. The project aims to support this strategy."
111,2509,English Nature,1843502.00,921751.00,"The marsh fritillary butterfly, (<i>Euphydryas aurinia</i>), has suffered a 20-50% decline in its distribution in Europe over the past 25 years.  The rate of decline in the UK has been particularly severe, mainly as a consequence of the loss of traditional livestock grazing, which leads to unmanaged pastures."
112,2477,WWF UK,2041178.00,1132854.00,"The remaining natural Tilio-acerion woodland of the British Isles includes mosaics of woodland habitats associated with steep-sided limestone valleys.  The project focused on two such sites, the Wye Valley Woodlands cSAC along the border of England and Wales and the Peak District Dales cSAC in northern England, due to their size and complex conservation requirements."
113,2070,MERSEYSIDE PASSENGER TRANSPORT EXECUTIVE,3944938.00,1493843.00,The European directives (96/62/EC and 99/30/EC) on air quality define the policy framework and set limits for key pollutants in ambient air. In the UK these limits have been accepted as national objectives in the Air Quality Strategy published in 2000. A key part of the strategy requires local authorities to draw up air quality action plans. These plans play an important role in cutting road transport emissions since road transport is a major source of the local air pollution.
114,2077,National coal mining museum for England,4075986.00,1446977.00,"The management of groundwater resources in areas that have been subject to extensive coal mining is a major international problem due to the difficulty of predicting the hydrological characteristics of groundwater drainage regimes and the potential impact on groundwater quality, surface water flow and quality, stability of structures and public safety. 
Under the EC Water Framework Directive it will become increasingly important to incorporate large-scale groundwater drainage networks such as those in former coalfield areas into River Basin Management Plans. 
Without improved understanding of the opportunities for integrated management of coalfield groundwater systems they will remain a major environmental risk and a significant barrier to the successful implementation of fully integrated river basin management systems.
The project aimed to support the development of effective integrated management strategies by considering the relationships and linkages between coalfield groundwater systems and all other catchment water resources including abstractions, discharges, flowcontrols and land development issues."
115,2081,Environment Agency,2101947.00,1037414.00,"The Eco-Management and Audit Scheme (EMAS) is intended to provide an open, transparent and accountable framework for organisations to demonstrate compliance and improvement with environmental laws and regulations. A key influencing factor in EMAS uptake is the role of State regulators in actively supporting the integration of EMAS. Objective evidence is required before national authorities endorse quality standards and evidence on EMAS was not considered sufficient by UK regulators. A LIFE-Environment project was approved to address this information gap and provide central government with the confirmation that they required to endorse EMAS as a legitimate mechanism for improving an organisation’s environmental performance and legislative compliance."
116,2082,Environment Agency,2020691.50,1010345.75,"Industrial activity in the West Midlands dates back to the 1800s. Since 1980, however, the region has experienced steady industrial decline, which has led to significant land-use changes. The focus of the SMURF project is the River Tame basin which is 73% urban industrial and home to 1.8 million people. River water quality across the basin is among the poorest in the UK. Of the 140kms of river in the basin,75% are classed as poor or very poor under the “General Quality Assessment” scheme used by the Environment Agency (England and Wales) to test and rank the aesthetic quality of rivers. Such a very large urban area developed over relatively small capacity rivers creates tremendous environmental pressure on the water resources. Under the European Water Framework Directive, Member States are required to bring waters up to “good ecological status”."
117,2079,Dryden Aqua Limited,1166116.00,176213.00,"The 6th Environmental Action Programme recognises the importance of the link between the environment and public health and promoting the more sustainable use of natural resources. It also specifically identifies the need to ensure the “sustainable use and high quality of our water resources”, the need to aim for “a non-toxic environment” and the need to “reduce the quantity of waste going to final disposal”. The Advanced Filtration Management (AFM) project will make a positive contribution to these key EU environmental objectives by developing and testing a product made from a recycled material that is more effective than sand at filtering drinking water.

AFM is a new and innovative method of filtering water using recycled glass. Using properties of glass that resist bacteria build up and contamination that adversely affects standard sand filters, this filtration medium has proved to be highly effective at removing bacteria, parasites and organic matter from water filters tested in several different systems, including sewage treatment plants, swimming pools, drinking water and large aquariums. Although the product is more expensive than the sand equivalent, the medium has a longer lifespan and, as a much more effective filter, has health and safety benefits. 

The medium has been approved by the Drinking Water Inspectorate, and opportunities for use within the water industry, along with the treatment of sewage effluent, have opened up as a result. As drinking water and wastewater disposal standards increase over the next ten years to 2015, AFM filtration will become increasingly important."
118,2078,London borough of Islington,421651.26,270425.00,"The EU’s 6th Environmental Action Programme identifies climate change as one of four key priority areas.The consensus is that increased concentrations of greenhouse gases are a significant contributory factor in global warming. Therefore, Member States across the EU need to develop and implement CO2 reduction strategies in order to meet their targets and contribute to the EU target. The European Climate Change Programme sets out policies and measures to reduce EU greenhouse gas emissions to a level of 8 percent below the 1990 level by 2008-2012, in line with the Kyoto Protocol."
119,1971,Royal Society for the Protection of Birds (RSPB),6484498.00,3890699.00,"The bittern (Botaurus stellaris)is a secretive bird found most often in marshes and extensive stands of reedbed. The evocative booming call of the male during the breeding season is often the only sign of its presence. Over the last century, the species has been in steady decline throughout Europe, principally due to the loss of suitably large reedbeds.
The UK is no exception. The highest recorded levels this century were in the 1950s when 50 booming males were heard. This dropped down to just 11 by 1997, pushing the bird to the edge of extinction. A first LIFE-Nature project “Urgent action for the Bittern (Botaurus stellaris)in the UK” (LIFE96 NAT/UK/003057) did much to halt this decline, and numbers have gradually recovered since, reaching 30 in 2001. But the species still remained highly vulnerable, with poor breeding success at some sites, sub-optimal habitat at others and, in particular, the lack of a suitable network of sites to allow fledged young to disperse and establish new breeding populations."
120,1974,Yorkshire Dales National Park Authority,1883632.00,738945.00,The Yorkshire Dales National Park is home to the most extensive range of limestone pavements and upland semi-natural calcareous grassland in the United Kingdom. Their importance is reflected in the designation of two Natura 2000 SCI sites covering some 11 100 ha and including 12 habitats listed in Annex I of the Habitats Directive.
121,1975,"Caledonian Partnership, Highland Birchwoods",7355440.00,3677720.00,"The western capercaillie (Tetrao urogallus) is the largest species of grouse in the world and in Scotland, the species is facing extinction for a second time. It first disappeared in 1785 but was re-introduced from Sweden in 1837 as a game bird. By the 1970s the populations numbered around 20,000 birds.  Since then, however, its decline has been dramatic with population numbers dropping to around 1,000 birds.  Key threats include mortality through collisions with deer fences, predation of chicks, lack of suitable foraging sites for newly-hatched chicks and, above all, the severe fragmentation and reduced quality of the capercaillie's prime woodland habitats.   A number of emergency conservation efforts have been carried out in recent years but these were neither large scale nor wide spread and remained predominantly localised programmes."
122,1976,Hampshire County Council,4584262.00,1833705.00,"Southern England’s 'New' Forest’ covers around 290km2 and is considered a biological 'hot spot'. This large Natura 2000 network site includes outstanding examples of thirteen habitats of European importance including the priority habitat types bog woodland and riverine woodland. An earlier LIFE II project (LIFE97 NAT/UK/004242) tackled some of the most obvious conservation problems over 4 000 ha (invasive species, exotic plantations, erosion caused by visitors) and drew up a comprehensive coordinated management plan for the whole area.  This management process noted that the SCI's priority woodlands were in particular need of restoration, having suffered from the lack of a holistic approach to the hydrological networks on which they depend."
123,1858,Newcastle City Council,1456200.00,705630.00,"Although awareness of sustainable development in Europe has increased dramatically in the past decade, this has yet to result in sufficient commitment by the various stakeholders to ensure implementation. As a result, concrete sustainable development has yet to be significantly advanced.

A small number of initiatives are exploring the potential contribution of peer review techniques to monitoring and advancing both environmental performance and sustainable development. The effectiveness of peer review relies on the exchange of information and experience among equals, as well as on the influence and persuasion exercised by the peers during the process. The latter effect, known as “peer pressure”, is, however, particularly effective when it is possible to provide both qualitative and quantitative assessments of performance."
124,1859,"The Ythan Project, c/o Aberdeenshire Council",737038.00,357617.00,"Studies of the Ythan estuary show steadily increasing levels of nitrates and phosphates in recent years, contributing to an increase in the growth of green macroalgae in the estuary waters and potentially resulting in a negative impact on the supply of food for birds. Current approaches to regulating this problem are only partially effective. While the estuary site has RAMSAR status, the designation does not protect the site from the impacts of activities upstream or more general impacts such as pollution of the adjacent sea area. Designation as a Nitrate Vulnerable Zone (NVZ) also will not protect the site from pollutants other than nitrogen (e.g. phosphorus and soil particles). Unless the local community is encouraged to take responsibility for the state of the river and its associated habitats, and to instigate a voluntary response to tackle the problems facing the river, significant damage may be done to its natural heritage in future years.

Similar sites exist throughout the EU, where diffuse pollution sources make protection through top-down regulation problematic. New approaches to environmental protection in these areas are now needed."
125,1863,London Borough of Lambeth,1550000.00,775000.00,"The project seeked, through the development and support of existing reuse, refurbishment and reclamation initiatives, to tackle the environmental problems arising from the disposal of waste IT equipment. The target area for the project would be the central London Boroughs of Lambeth and Southwark, The City of Westminster and The Corporation of London, covering the major business districts of central London.
This project intended to maximise the potential for the refurbishment and repair of waste IT for reuse by collecting the waste IT followed by the reclamation of equipment. Such an approach would move the handling of waste IT and office equipment up the waste hierarchy in accordance with EU guidance on waste management.
There were more than 75 000 businesses located within the project area, disposing of an estimated 15 000 items of waste IT and office equipment per annum. Previous experience suggested that as much as 50% could be redistributed with little or no refurbishment, whilst a further 30% could be redistributed following minor repair, or replacement of non-working components."
126,1712,English Nature,3482722.00,1741361.00,"One of the largest unbroken expanses of chalk grassland in North-West Europe can be found at Salisbury Plain. Covering some 14,000 ha, the site is a haven for a wide range of flora species that characterise this type of habitat. Its fauna value is not to be ignored either - a third of the UK’s population of stone curlew Burhinus oedicnemus breeds within the SPA boundary and surrounding farmland, and one of the largest colonies of the Marsh fritillary Euphrydryas aurinia can also be found here.
	
It is rare that such a large area of chalk grassland still exists in this part of the country. Most will have been a prime target for agricultural improvement schemes. But Salisbury Plain was spared this fate thanks to its strategic importance to the British army. It is in fact the UK’s prime military training area. As a consequence, the impact of intensive modern agriculture has been very limited compared to the wider countryside. But the particular restrictions in land uses imposed by military exercises have had their down side too. Much of the area is suffering from management neglect – invading scrub, insufficient grazing, areas of over-grazing, fragmentation, etc."
127,1713,Scottish Natural Heritage,2762834.00,1381417.00,"The Western Isles of Scotland are of particularly high national and international nature conservation importance for their breeding populations of several species of wader and other water birds. Consequently, 5 SPAs covering almost 150 km² have been designated to protect the vast assemblages of breeding birds present in the islands"
128,1714,"Caledonian Partnership, Highland Birchwoods Ltd",3186358.00,1274543.00,"Scotland hosts a range of UK woodland types including several that are protected by the EU Habitats Directive. A number of these are under threat from problems associated with invasive species, over-grazing and land ownership issues. Such nature conservation concerns can fragment habitat integrity and adversely affect the functionality of woodland ecosystems."
129,1715,Royal Society for the Protection of Birds,4547869.00,2728721.00,"The Caithness and Sutherland Peatlands are the largest and most intact areas of active blanket bog found in the UK, and one of the largest in the world. In 1998, 143,538 ha were proposed as pSCI under the Habitats Directive. They were also classified as an SPA in view of their value for a diverse range of Annex I birds, such as the red-throated diver (Gavia stellata) and the golden plover (Pluvialis appricaria).  

A high proportion of the active blanket bog in the pSCI remains in excellent condition. However, parts were still being seriously damaged in the late 1990s as a result of past activities (large-scale afforestation and drainage) and to a lesser extent by on-going management practices (for example, grazing and burning).

The greatest threat came from forestry plantations that lay just outside the SAC/SPA boundaries. Action was urgently required if this particular damage was to be stopped. The next three to five years of the new decade presented the last opportunity to restore afforested peatland with an optimal chance of success, as the forest canopy would close and finally shade out what remained of the peatland vegetation community."
130,1716,Scottish Wildlife Trust,2139262.00,1458977.00,"Since the start of the nineteenth century the extent of primary, active, lowland raised bog in the UK decreased from 95,000 ha to 8,100 ha, a decline of 85%. Two thirds of the remaining area is found in Scotland, and, despite the scale of destruction, Scotland still holds a significant proportion of raised bogs in good condition.

The project focused on 45% of the existing resource in the UK within eleven SCIs (12 individual sites). All of the sites - whether large or small, private or public – had been subject to human intervention at some stage through peat cutting, drainage works, tree planting, scrub encroachment and grazing pressure. This is because raised bogs have traditionally been viewed as unproductive areas suitable only for ‘improvement’ through drainage and reclamation. They have little intrinsic economic value, especially since their use for domestic peat has all but disappeared."
131,1717,"Dorset County Council, Planning Division",3819840.00,1909920.00,"At the end of the 18th century the Dorset heathlands stretched across 500 km² of countryside in southern England, broken up only by river valleys. Two centuries later, the picture was quite different: heaths covered only 14% of their former range and what remained was torn apart by new land uses – agricultural land, large urban areas and conifer plantations. The 420,000 residents of the Poole - Bournemouth conurbation put particular pressure on the 1850 ha of nearby heaths.  Fires were deliberately set, vegetation was trampled underfoot by people, horses and mountain bikes etc. and many sites were used as illegal dumps to get rid of old rubbish. The public's perception of these habitats was clearly negative: these areas were nothing more than wastelands.
 
Innovative approaches were required to change such attitudes. The heath fragments that remained were so small and vulnerable that there was little benefit in trying to protect them, or introducing classic conservation measures to restore them, without assuring local cooperation. Their status as a habitat of international importance is rarely recognised."
